PeakID (cmd=annotatePeaks.pl SPT5.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 2)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_517	VII	560117	560451	+	0	NA	promoter-TSS (YGR037C)	protein_coding-promoter-TSS (YGR037C)	-290	YGR037C	YGR037C	YGR037C			ACB1			protein_coding
Interval_544	VII	770394	770619	+	0	NA	promoter-TSS (YGR141W)	protein_coding-promoter-TSS (YGR141W)	-63	YGR141W	YGR141W	YGR141W			VPS62			protein_coding
Interval_211	IV	568769	568980	+	0	NA	promoter-TSS (YDR058C)	protein_coding-promoter-TSS (YDR058C)	-8	tR(UCU)D	tR(UCU)D	tR(UCU)D			tR(UCU)D			tRNA
Interval_870	XII	795211	795377	+	0	NA	promoter-TSS (snR55)	snoRNA-promoter-TSS (snR55)	-270	snR57	snR57	snR57			snR57			snoRNA
Interval_670	X	256874	257180	+	0	NA	promoter-TSS (YJL092W)	protein_coding-promoter-TSS (YJL092W)	-215	YJL093C	YJL093C	YJL093C			TOK1			protein_coding
Interval_221	IV	722578	722775	+	0	NA	TTS (YDR135C)	protein_coding-TTS (YDR135C)	-1195	YDR134C	YDR134C	YDR134C			YDR134C			pseudogene
Interval_527	VII	640488	640662	+	0	NA	promoter-TSS (YGR078C)	protein_coding-promoter-TSS (YGR078C)	-145	YGR079W	YGR079W	YGR079W			YGR079W			protein_coding
Interval_466	VII	73787	74387	+	0	NA	promoter-TSS (YGL226C-A)	protein_coding-promoter-TSS (YGL226C-A)	-185	tV(AAC)G3	tV(AAC)G3	tV(AAC)G3			tV(AAC)G3			tRNA
Interval_999	XIV	62963	63664	+	0	NA	promoter-TSS (YNL302C)	protein_coding-promoter-TSS (YNL302C)	-370	YNL302C	YNL302C	YNL302C			RPS19B			protein_coding
Interval_1260	XVI	794573	794887	+	0	NA	promoter-TSS (YPR130C)	protein_coding-promoter-TSS (YPR130C)	-232	YPR131C	YPR131C	YPR131C			NAT3			protein_coding
Interval_1034	XIV	440696	441231	+	0	NA	promoter-TSS (YNL097C-B)	protein_coding-promoter-TSS (YNL097C-B)	-44	YNL097C-B	YNL097C-B	YNL097C-B			YNL097C-B			protein_coding
Interval_305	IX	77458	77953	+	0	NA	promoter-TSS (YIL144W)	protein_coding-promoter-TSS (YIL144W)	-369	YIL144W	YIL144W	YIL144W			NDC80			protein_coding
Interval_130	III	133341	133619	+	0	NA	promoter-TSS (YCR010C)	protein_coding-promoter-TSS (YCR010C)	-356	YCR010C	YCR010C	YCR010C			ADY2			protein_coding
Interval_1202	XVI	246342	246731	+	0	NA	promoter-TSS (YPL160W)	protein_coding-promoter-TSS (YPL160W)	-316	YPL161C	YPL161C	YPL161C			BEM4			protein_coding
Interval_234	IV	914504	915231	+	0	NA	promoter-TSS (YDR224C)	protein_coding-promoter-TSS (YDR224C)	-155	YDR224C	YDR224C	YDR224C			HTB1			protein_coding
Interval_777	XI	517893	519306	+	0	NA	promoter-TSS (YKR040C)	protein_coding-promoter-TSS (YKR040C)	-33	YKR040C	YKR040C	YKR040C			YKR040C			protein_coding
Interval_1037	XIV	444509	444696	+	0	NA	promoter-TSS (YNL096C)	protein_coding-promoter-TSS (YNL096C)	-287	YNL096C	YNL096C	YNL096C			RPS7B			protein_coding
Interval_1155	XV	903794	904460	+	0	NA	promoter-TSS (YOR314W-A)	protein_coding-promoter-TSS (YOR314W-A)	-331	YOR314W-A	YOR314W-A	YOR314W-A			YOR314W-A			protein_coding
Interval_764	XI	369046	369722	+	0	NA	promoter-TSS (YKL035W)	protein_coding-promoter-TSS (YKL035W)	19	YKL037W	YKL037W	YKL037W			AIM26			protein_coding
Interval_1256	XVI	769100	769286	+	0	NA	TTS (YPR118W)	protein_coding-TTS (YPR118W)	109	tK(UUU)P	tK(UUU)P	tK(UUU)P			tK(UUU)P			tRNA
Interval_84	II	539882	540085	+	0	NA	promoter-TSS (YBR149W)	protein_coding-promoter-TSS (YBR149W)	-4	YBR149W	YBR149W	YBR149W			ARA1			protein_coding
Interval_423	V	434429	434596	+	0	NA	promoter-TSS (tH(GUG)E2)	tRNA-promoter-TSS (tH(GUG)E2)	100	tH(GUG)E2	tH(GUG)E2	tH(GUG)E2			tH(GUG)E2			tRNA
Interval_1273	XVI	920829	921411	+	0	NA	promoter-TSS (YPR192W)	protein_coding-promoter-TSS (YPR192W)	-740	YPR192W	YPR192W	YPR192W			AQY1			protein_coding
Interval_542	VII	756570	756827	+	0	NA	promoter-TSS (YGR132C)	protein_coding-promoter-TSS (YGR132C)	-198	YGR133W	YGR133W	YGR133W			PEX4			protein_coding
Interval_31	II	89291	89858	+	0	NA	promoter-TSS (YBL071C-B)	protein_coding-promoter-TSS (YBL071C-B)	-18	YBL071C-B	YBL071C-B	YBL071C-B			YBL071C-B			protein_coding
Interval_890	XII	950047	950988	+	0	NA	promoter-TSS (YLR412C-A)	protein_coding-promoter-TSS (YLR412C-A)	-44	YLR412C-A	YLR412C-A	YLR412C-A			YLR412C-A			protein_coding
Interval_1218	XVI	404187	404688	+	0	NA	promoter-TSS (YPL081W)	protein_coding-promoter-TSS (YPL081W)	-354	YPL082C	YPL082C	YPL082C			MOT1			protein_coding
Interval_515	VII	555452	555697	+	0	NA	promoter-TSS (YGR033C)	protein_coding-promoter-TSS (YGR033C)	-238	YGR034W	YGR034W	YGR034W			RPL26B			protein_coding
Interval_43	II	193561	194041	+	0	NA	promoter-TSS (YBL015W)	protein_coding-promoter-TSS (YBL015W)	-321	YBL015W	YBL015W	YBL015W			ACH1			protein_coding
Interval_479	VII	206406	206711	+	0	NA	promoter-TSS (YGL158W)	protein_coding-promoter-TSS (YGL158W)	-475	YGL158W	YGL158W	YGL158W			RCK1			protein_coding
Interval_795	XII	36868	37111	+	0	NA	promoter-TSS (YLL052C)	protein_coding-promoter-TSS (YLL052C)	-628	YLL052C	YLL052C	YLL052C			AQY2			protein_coding
Interval_126	III	107162	107327	+	0	NA	promoter-TSS (YCL005W)	protein_coding-promoter-TSS (YCL005W)	122	YCL007C	YCL007C	YCL007C			YCL007C			protein_coding
Interval_582	VIII	18212	18458	+	0	NA	TTS (YHL040C)	protein_coding-TTS (YHL040C)	943	YHL041W	YHL041W	YHL041W			YHL041W			protein_coding
Interval_88	II	561323	561554	+	0	NA	promoter-TSS (YBR161W)	protein_coding-promoter-TSS (YBR161W)	-196	YBR161W	YBR161W	YBR161W			CSH1			protein_coding
Interval_913	XIII	104227	104645	+	0	NA	promoter-TSS (YML081C-A)	protein_coding-promoter-TSS (YML081C-A)	-274	YML081C-A	YML081C-A	YML081C-A			ATP18			protein_coding
Interval_604	VIII	272409	272577	+	0	NA	promoter-TSS (YHR082C)	protein_coding-promoter-TSS (YHR082C)	-134	YHR083W	YHR083W	YHR083W			SAM35			protein_coding
Interval_656	X	147348	147763	+	0	NA	TTS (YJL141C)	protein_coding-TTS (YJL141C)	454	YJL143W	YJL143W	YJL143W			TIM17			protein_coding
Interval_802	XII	98862	99244	+	0	NA	promoter-TSS (YLL023C)	protein_coding-promoter-TSS (YLL023C)	-217	YLL023C	YLL023C	YLL023C			POM33			protein_coding
Interval_1275	XVI	942472	942926	+	0	NA	promoter-TSS (YPR202W)	protein_coding-promoter-TSS (YPR202W)	-333	YPR202W	YPR202W	YPR202W			YPR202W			protein_coding
Interval_50	II	255835	256429	+	0	NA	promoter-TSS (YBR009C)	protein_coding-promoter-TSS (YBR009C)	-199	YBR010W	YBR010W	YBR010W			HHT1			protein_coding
Interval_1153	XV	891785	891951	+	0	NA	promoter-TSS (YOR306C)	protein_coding-promoter-TSS (YOR306C)	-436	YOR306C	YOR306C	YOR306C			MCH5			protein_coding
Interval_163	IV	217263	217565	+	0	NA	promoter-TSS (YDL136W)	protein_coding-promoter-TSS (YDL136W)	-186	YDL136W	YDL136W	YDL136W			RPL35B			protein_coding
Interval_1176	XV	1084226	1084483	+	0	NA	promoter-TSS (YOR394C-A)	protein_coding-promoter-TSS (YOR394C-A)	15	YOR394C-A	YOR394C-A	YOR394C-A			YOR394C-A			protein_coding
Interval_1161	XV	965883	966307	+	0	NA	TTS (YOR341W)	protein_coding-TTS (YOR341W)	1530	YOR342C	YOR342C	YOR342C			YOR342C			protein_coding
Interval_658	X	157352	158021	+	0	NA	promoter-TSS (YJL134W)	protein_coding-promoter-TSS (YJL134W)	-191	YJL135W	YJL135W	YJL135W			YJL135W			protein_coding
Interval_684	X	378390	378702	+	0	NA	promoter-TSS (YJL036W)	protein_coding-promoter-TSS (YJL036W)	186	tV(AAC)J	tV(AAC)J	tV(AAC)J			tV(AAC)J			tRNA
Interval_80	II	477122	477602	+	0	NA	promoter-TSS (YBR117C)	protein_coding-promoter-TSS (YBR117C)	-309	YBR118W	YBR118W	YBR118W			TEF2			protein_coding
Interval_1091	XV	167964	168586	+	0	NA	promoter-TSS (YOL082W)	protein_coding-promoter-TSS (YOL082W)	-452	YOL082W	YOL082W	YOL082W			ATG19			protein_coding
Interval_502	VII	433744	434054	+	0	NA	promoter-TSS (YGL034C)	protein_coding-promoter-TSS (YGL034C)	-320	YGL034C	YGL034C	YGL034C			YGL034C			protein_coding
Interval_213	IV	591545	592475	+	0	NA	promoter-TSS (YDR072C)	protein_coding-promoter-TSS (YDR072C)	-429	YDR073W	YDR073W	YDR073W			SNF11			protein_coding
Interval_128	III	124862	125484	+	0	NA	TTS (YCR007C)	protein_coding-TTS (YCR007C)	-1525	tP(AGG)C	tP(AGG)C	tP(AGG)C			SUF2			tRNA
Interval_58	II	341573	342431	+	0	NA	Intergenic	Intergenic	-1099	YBR054W	YBR054W	YBR054W			YRO2			protein_coding
Interval_411	V	335134	336143	+	0	NA	promoter-TSS (YER088C)	protein_coding-promoter-TSS (YER088C)	-289	YER088W-B	YER088W-B	YER088W-B			YER088W-B			protein_coding
Interval_1023	XIV	351511	351725	+	0	NA	promoter-TSS (YNL145W)	protein_coding-promoter-TSS (YNL145W)	-38	YNL146C-A	YNL146C-A	YNL146C-A			YNL146C-A			protein_coding
Interval_1109	XV	424144	424717	+	0	NA	promoter-TSS (YOR049C)	protein_coding-promoter-TSS (YOR049C)	187	YOR050C	YOR050C	YOR050C			YOR050C			protein_coding
Interval_882	XII	875165	875547	+	0	NA	promoter-TSS (YLR377C)	protein_coding-promoter-TSS (YLR377C)	-20	tK(UUU)L	tK(UUU)L	tK(UUU)L			tK(UUU)L			tRNA
Interval_1181	XVI	55958	56517	+	0	NA	promoter-TSS (YPL257W-A)	protein_coding-promoter-TSS (YPL257W-A)	37	tW(CCA)P	tW(CCA)P	tW(CCA)P			tW(CCA)P			tRNA
Interval_345	IX	382162	382667	+	0	NA	promoter-TSS (YIR016W)	protein_coding-promoter-TSS (YIR016W)	-214	YIR016W	YIR016W	YIR016W			YIR016W			protein_coding
Interval_155	IV	106615	106939	+	0	NA	promoter-TSS (YDL195W)	protein_coding-promoter-TSS (YDL195W)	36	YDL196W	YDL196W	YDL196W			YDL196W			protein_coding
Interval_625	VIII	450543	451378	+	0	NA	promoter-TSS (YHR174W)	protein_coding-promoter-TSS (YHR174W)	193	YHR173C	YHR173C	YHR173C			YHR173C			protein_coding
Interval_432	V	482964	483175	+	0	NA	promoter-TSS (YER155C)	protein_coding-promoter-TSS (YER155C)	-221	YER155C	YER155C	YER155C			BEM2			protein_coding
Interval_815	XII	320170	320724	+	0	NA	promoter-TSS (YLR089C)	protein_coding-promoter-TSS (YLR089C)	-254	YLR090W	YLR090W	YLR090W			XDJ1			protein_coding
Interval_842	XII	603692	604029	+	0	NA	promoter-TSS (YLR230W)	protein_coding-promoter-TSS (YLR230W)	-714	YLR230W	YLR230W	YLR230W			YLR230W			protein_coding
Interval_921	XIII	192090	192500	+	0	NA	promoter-TSS (YML042W)	protein_coding-promoter-TSS (YML042W)	-493	YML042W	YML042W	YML042W			CAT2			protein_coding
Interval_590	VIII	113204	113384	+	0	NA	promoter-TSS (YHR004C)	protein_coding-promoter-TSS (YHR004C)	-200	YHR004C	YHR004C	YHR004C			NEM1			protein_coding
Interval_312	IX	129876	130131	+	0	NA	promoter-TSS (YIL122W)	protein_coding-promoter-TSS (YIL122W)	-607	YIL122W	YIL122W	YIL122W			POG1			protein_coding
Interval_54	II	288226	288537	+	0	NA	promoter-TSS (YBR023C)	protein_coding-promoter-TSS (YBR023C)	-456	YBR023C	YBR023C	YBR023C			CHS3			protein_coding
Interval_331	IX	255368	255618	+	0	NA	TTS (YIL052C)	protein_coding-TTS (YIL052C)	378	YIL053W	YIL053W	YIL053W			GPP1			protein_coding
Interval_710	X	640386	640646	+	0	NA	promoter-TSS (YJR116W)	protein_coding-promoter-TSS (YJR116W)	-309	YJR116W	YJR116W	YJR116W			TDA4			protein_coding
Interval_1046	XIV	502814	503534	+	0	NA	promoter-TSS (YNL065W)	protein_coding-promoter-TSS (YNL065W)	-550	YNL065W	YNL065W	YNL065W			AQR1			protein_coding
Interval_299	IV	1524847	1525639	+	0	NA	promoter-TSS (YDR543C)	protein_coding-promoter-TSS (YDR543C)	280	YDR544C	YDR544C	YDR544C			YDR544C			protein_coding
Interval_1138	XV	742233	742605	+	0	NA	promoter-TSS (YOR211C)	protein_coding-promoter-TSS (YOR211C)	-491	YOR212W	YOR212W	YOR212W			STE4			protein_coding
Interval_385	V	191948	192482	+	0	NA	promoter-TSS (YER017C)	protein_coding-promoter-TSS (YER017C)	409	YER018C	YER018C	YER018C			SPC25			protein_coding
Interval_468	VII	94802	95199	+	0	NA	promoter-TSS (YGL209W)	protein_coding-promoter-TSS (YGL209W)	-858	YGL209W	YGL209W	YGL209W			MIG2			protein_coding
Interval_934	XIII	306022	306932	+	0	NA	promoter-TSS (YMR016C)	protein_coding-promoter-TSS (YMR016C)	-884	YMR016C	YMR016C	YMR016C			SOK2			protein_coding
Interval_827	XII	448481	448907	+	0	NA	promoter-TSS (YLR154C)	protein_coding-promoter-TSS (YLR154C)	27	tQ(UUG)L	tQ(UUG)L	tQ(UUG)L			tQ(UUG)L			tRNA
Interval_1025	XIV	373795	374036	+	0	NA	promoter-TSS (YNL134C)	protein_coding-promoter-TSS (YNL134C)	-334	YNL134C	YNL134C	YNL134C			YNL134C			protein_coding
Interval_324	IX	207535	207700	+	0	NA	exon (YIL080W, exon 2 of 2)	pseudogene-exon (YIL080W, exon 2 of 2)	1982	YIL082W	YIL082W	YIL082W			YIL082W			protein_coding
Interval_617	VIII	382823	383177	+	0	NA	promoter-TSS (YHR141C)	protein_coding-promoter-TSS (YHR141C)	-249	YHR141C	YHR141C	YHR141C			RPL42B			protein_coding
Interval_644	X	74269	74476	+	0	NA	promoter-TSS (YJL192C)	protein_coding-promoter-TSS (YJL192C)	585	YJL191W	YJL191W	YJL191W			RPS14B			protein_coding
Interval_1182	XVI	66923	67627	+	0	NA	promoter-TSS (YPL255W)	protein_coding-promoter-TSS (YPL255W)	-450	YPL255W	YPL255W	YPL255W			BBP1			protein_coding
Interval_1047	XIV	507324	507698	+	0	NA	promoter-TSS (YNL063W)	protein_coding-promoter-TSS (YNL063W)	-247	YNL063W	YNL063W	YNL063W			MTQ1			protein_coding
Interval_233	IV	909215	909679	+	0	NA	promoter-TSS (YDR222W)	protein_coding-promoter-TSS (YDR222W)	-607	YDR222W	YDR222W	YDR222W			YDR222W			protein_coding
Interval_698	X	545325	545656	+	0	NA	promoter-TSS (YJR058C)	protein_coding-promoter-TSS (YJR058C)	-297	YJR059W	YJR059W	YJR059W			PTK2			protein_coding
Interval_987	XIII	872737	873107	+	0	NA	promoter-TSS (YMR302C)	protein_coding-promoter-TSS (YMR302C)	-297	YMR302C	YMR302C	YMR302C			YME2			protein_coding
Interval_424	V	435460	436224	+	0	NA	promoter-TSS (tK(CUU)E2)	tRNA-promoter-TSS (tK(CUU)E2)	-18	tK(CUU)E2	tK(CUU)E2	tK(CUU)E2			tK(CUU)E2			tRNA
Interval_501	VII	432742	433573	+	0	NA	promoter-TSS (YGL035C)	protein_coding-promoter-TSS (YGL035C)	-95	YGL035C	YGL035C	YGL035C			MIG1			protein_coding
Interval_207	IV	550773	551608	+	0	NA	promoter-TSS (YDR046C)	protein_coding-promoter-TSS (YDR046C)	-614	YDR046C	YDR046C	YDR046C			BAP3			protein_coding
Interval_576	VII	1061898	1062082	+	0	NA	promoter-TSS (YGR284C)	protein_coding-promoter-TSS (YGR284C)	-400	YGR284C	YGR284C	YGR284C			ERV29			protein_coding
Interval_763	XI	361989	362402	+	0	NA	promoter-TSS (YKL039W)	protein_coding-promoter-TSS (YKL039W)	-367	YKL040C	YKL040C	YKL040C			NFU1			protein_coding
Interval_881	XII	871435	872064	+	0	NA	promoter-TSS (YLR373C)	protein_coding-promoter-TSS (YLR373C)	52	YLR375W	YLR375W	YLR375W			STP3			protein_coding
Interval_1092	XV	170546	170805	+	0	NA	promoter-TSS (YOL081W)	protein_coding-promoter-TSS (YOL081W)	-395	YOL081W	YOL081W	YOL081W			IRA2			protein_coding
Interval_1013	XIV	275862	276247	+	0	NA	promoter-TSS (YNL192W)	protein_coding-promoter-TSS (YNL192W)	-448	YNL192W	YNL192W	YNL192W			CHS1			protein_coding
Interval_835	XII	521972	522585	+	0	NA	promoter-TSS (YLR183C)	protein_coding-promoter-TSS (YLR183C)	172	YLR184W	YLR184W	YLR184W			YLR184W			protein_coding
Interval_412	V	342450	343461	+	0	NA	promoter-TSS (YER091C)	protein_coding-promoter-TSS (YER091C)	100	YER092W	YER092W	YER092W			IES5			protein_coding
Interval_878	XII	838258	838609	+	0	NA	exon (YLR355C, exon 1 of 1)	protein_coding-exon (YLR355C, exon 1 of 1)	820	YLR355C	YLR355C	YLR355C			ILV5			protein_coding
Interval_431	V	474166	474976	+	0	NA	promoter-TSS (YER152C)	protein_coding-promoter-TSS (YER152C)	234	YER153C	YER153C	YER153C			PET122			protein_coding
Interval_726	XI	69547	69814	+	0	NA	exon (YKL198C, exon 1 of 1)	protein_coding-exon (YKL198C, exon 1 of 1)	540	YKL198C	YKL198C	YKL198C			PTK1			protein_coding
Interval_195	IV	488808	489387	+	0	NA	promoter-TSS (YDR022C)	protein_coding-promoter-TSS (YDR022C)	-227	tV(UAC)D	tV(UAC)D	tV(UAC)D			tV(UAC)D			tRNA
Interval_485	VII	284134	284344	+	0	NA	promoter-TSS (YGL119W)	protein_coding-promoter-TSS (YGL119W)	-203	YGL119W	YGL119W	YGL119W			COQ8			protein_coding
Interval_1044	XIV	499090	499442	+	0	NA	promoter-TSS (YNL067W)	protein_coding-promoter-TSS (YNL067W)	-151	YNL067W-B	YNL067W-B	YNL067W-B			YNL067W-B			protein_coding
Interval_368	V	53272	53944	+	0	NA	promoter-TSS (YEL054C)	protein_coding-promoter-TSS (YEL054C)	-390	YEL054C	YEL054C	YEL054C			RPL12A			protein_coding
Interval_177	IV	330361	330970	+	0	NA	promoter-TSS (YDL070W)	protein_coding-promoter-TSS (YDL070W)	-218	YDL072C	YDL072C	YDL072C			YET3			protein_coding
Interval_730	XI	91984	92187	+	0	NA	promoter-TSS (YKL187C)	protein_coding-promoter-TSS (YKL187C)	-549	YKL187C	YKL187C	YKL187C			FAT3			protein_coding
Interval_569	VII	976791	977350	+	0	NA	promoter-TSS (YGR241C)	protein_coding-promoter-TSS (YGR241C)	-266	YGR243W	YGR243W	YGR243W			MPC3			protein_coding
Interval_550	VII	809467	810755	+	0	NA	promoter-TSS (YGR161C)	protein_coding-promoter-TSS (YGR161C)	-116	YGR161W-C	YGR161W-C	YGR161W-C			YGR161W-C			protein_coding
Interval_311	IX	127784	127954	+	0	NA	promoter-TSS (YIL123W)	protein_coding-promoter-TSS (YIL123W)	-282	YIL123W	YIL123W	YIL123W			SIM1			protein_coding
Interval_1269	XVI	883122	883321	+	0	NA	promoter-TSS (YPR169W-A)	protein_coding-promoter-TSS (YPR169W-A)	-18	YPR170W-B	YPR170W-B	YPR170W-B			YPR170W-B			protein_coding
Interval_922	XIII	195958	196409	+	0	NA	promoter-TSS (YML039W)	protein_coding-promoter-TSS (YML039W)	-13	tP(UGG)M	tP(UGG)M	tP(UGG)M			SUF7			tRNA
Interval_841	XII	592387	592647	+	0	NA	promoter-TSS (YLR227C)	protein_coding-promoter-TSS (YLR227C)	102	tL(UAG)L1	tL(UAG)L1	tL(UAG)L1			tL(UAG)L1			tRNA
Interval_164	IV	221955	222203	+	0	NA	promoter-TSS (YDL133C-A)	protein_coding-promoter-TSS (YDL133C-A)	-278	YDL133C-A	YDL133C-A	YDL133C-A			RPL41B			protein_coding
Interval_445	VI	76618	77032	+	0	NA	promoter-TSS (YFL030W)	protein_coding-promoter-TSS (YFL030W)	-6	YFL030W	YFL030W	YFL030W			AGX1			protein_coding
Interval_260	IV	1194998	1195379	+	0	NA	promoter-TSS (YDR359C)	protein_coding-promoter-TSS (YDR359C)	-304	YDR359C	YDR359C	YDR359C			EAF1			protein_coding
Interval_259	IV	1189736	1189934	+	0	NA	promoter-TSS (YDR357C)	protein_coding-promoter-TSS (YDR357C)	-224	YDR358W	YDR358W	YDR358W			GGA1			protein_coding
Interval_1078	XV	55173	55480	+	0	NA	promoter-TSS (YOL142W)	protein_coding-promoter-TSS (YOL142W)	-222	YOL143C	YOL143C	YOL143C			RIB4			protein_coding
Interval_332	IX	257207	257764	+	0	NA	promoter-TSS (YIL052C)	protein_coding-promoter-TSS (YIL052C)	-422	YIL052C	YIL052C	YIL052C			RPL34B			protein_coding
Interval_637	VIII	562239	562583	+	0	NA	promoter-TSS (YHR219C-A)	protein_coding-promoter-TSS (YHR219C-A)	-730	YHR219C-A	YHR219C-A	YHR219C-A			YHR219C-A			protein_coding
Interval_603	VIII	267019	267992	+	0	NA	promoter-TSS (YHR080C)	protein_coding-promoter-TSS (YHR080C)	-33	YHR081W	YHR081W	YHR081W			LRP1			protein_coding
Interval_914	XIII	119061	119705	+	0	NA	promoter-TSS (YML075C)	protein_coding-promoter-TSS (YML075C)	-485	YML075C	YML075C	YML075C			HMG1			protein_coding
Interval_1015	XIV	301202	301552	+	0	NA	promoter-TSS (YNL179C)	protein_coding-promoter-TSS (YNL179C)	-274	YNL179C	YNL179C	YNL179C			YNL179C			protein_coding
Interval_947	XIII	431575	431946	+	0	NA	promoter-TSS (YMR081C)	protein_coding-promoter-TSS (YMR081C)	365	YMR082C	YMR082C	YMR082C			YMR082C			protein_coding
Interval_22	I	229418	230188	+	0	NA	TTS (YAR073W)	protein_coding-TTS (YAR073W)	959	YAR075W	YAR075W	YAR075W			YAR075W			protein_coding
Interval_222	IV	755210	755454	+	0	NA	promoter-TSS (YDR148C)	protein_coding-promoter-TSS (YDR148C)	-266	YDR148C	YDR148C	YDR148C			KGD2			protein_coding
Interval_1174	XV	1050798	1050975	+	0	NA	promoter-TSS (YOR380W)	protein_coding-promoter-TSS (YOR380W)	178	YOR379C	YOR379C	YOR379C			YOR379C			protein_coding
Interval_959	XIII	556831	557425	+	0	NA	promoter-TSS (YMR145C)	protein_coding-promoter-TSS (YMR145C)	-653	YMR145C	YMR145C	YMR145C			NDE1			protein_coding
Interval_960	XIII	560593	560814	+	0	NA	promoter-TSS (YMR149W)	protein_coding-promoter-TSS (YMR149W)	-293	YMR149W	YMR149W	YMR149W			SWP1			protein_coding
Interval_1201	XVI	227654	228087	+	0	NA	promoter-TSS (YPL170W)	protein_coding-promoter-TSS (YPL170W)	-444	YPL170W	YPL170W	YPL170W			DAP1			protein_coding
Interval_1177	XVI	6542	6913	+	0	NA	promoter-TSS (YPL283C)	protein_coding-promoter-TSS (YPL283C)	-720	YPL283C	YPL283C	YPL283C			YRF1-7			protein_coding
Interval_33	II	107530	107778	+	0	NA	promoter-TSS (YBL060W)	protein_coding-promoter-TSS (YBL060W)	-248	YBL061C	YBL061C	YBL061C			SKT5			protein_coding
Interval_379	V	131065	131621	+	0	NA	promoter-TSS (YEL012W)	protein_coding-promoter-TSS (YEL012W)	-190	tQ(UUG)E2	tQ(UUG)E2	tQ(UUG)E2			tQ(UUG)E2			tRNA
Interval_214	IV	593261	593828	+	0	NA	promoter-TSS (YDR074W)	protein_coding-promoter-TSS (YDR074W)	-349	YDR074W	YDR074W	YDR074W			TPS2			protein_coding
Interval_110	II	770615	771163	+	0	NA	promoter-TSS (YBR283C)	protein_coding-promoter-TSS (YBR283C)	-350	YBR284W	YBR284W	YBR284W			YBR284W			protein_coding
Interval_541	VII	753928	754421	+	0	NA	promoter-TSS (YGR130C)	protein_coding-promoter-TSS (YGR130C)	-330	YGR130C	YGR130C	YGR130C			YGR130C			protein_coding
Interval_247	IV	1031779	1032111	+	0	NA	promoter-TSS (YDR284C)	protein_coding-promoter-TSS (YDR284C)	-491	YDR285W	YDR285W	YDR285W			ZIP1			protein_coding
Interval_683	X	374110	374486	+	0	NA	promoter-TSS (YJL039C)	protein_coding-promoter-TSS (YJL039C)	197	tD(GUC)J3	tD(GUC)J3	tD(GUC)J3			tD(GUC)J3			tRNA
Interval_869	XII	793696	794181	+	0	NA	promoter-TSS (tD(GUC)L2)	tRNA-promoter-TSS (tD(GUC)L2)	20	tD(GUC)L2	tD(GUC)L2	tD(GUC)L2			tD(GUC)L2			tRNA
Interval_850	XII	650881	651271	+	0	NA	promoter-TSS (YLR256W-A)	protein_coding-promoter-TSS (YLR256W-A)	-41	YLR256W-A	YLR256W-A	YLR256W-A			YLR256W-A			protein_coding
Interval_92	II	595600	596000	+	0	NA	promoter-TSS (YBR182C)	protein_coding-promoter-TSS (YBR182C)	-245	YBR182C-A	YBR182C-A	YBR182C-A			YBR182C-A			protein_coding
Interval_1162	XV	967917	968467	+	0	NA	promoter-TSS (YOR342C)	protein_coding-promoter-TSS (YOR342C)	282	YOR343C	YOR343C	YOR343C			YOR343C			protein_coding
Interval_1228	XVI	475541	475819	+	0	NA	promoter-TSS (YPL041C)	protein_coding-promoter-TSS (YPL041C)	61	YPL041C	YPL041C	YPL041C			YPL041C			protein_coding
Interval_933	XIII	302748	303038	+	0	NA	promoter-TSS (YMR015C)	protein_coding-promoter-TSS (YMR015C)	-408	YMR015C	YMR015C	YMR015C			ERG5			protein_coding
Interval_535	VII	706869	707199	+	0	NA	promoter-TSS (YGR109C)	protein_coding-promoter-TSS (YGR109C)	145	tC(GCA)G	tC(GCA)G	tC(GCA)G			tC(GCA)G			tRNA
Interval_755	XI	308191	308501	+	0	NA	promoter-TSS (YKL068W-A)	protein_coding-promoter-TSS (YKL068W-A)	-129	tV(AAC)K1	tV(AAC)K1	tV(AAC)K1			tV(AAC)K1			tRNA
Interval_578	VII	1083868	1084497	+	0	NA	promoter-TSS (YGR296W)	protein_coding-promoter-TSS (YGR296W)	-682	YGR296W	YGR296W	YGR296W			YRF1-3			protein_coding
Interval_643	X	73564	73807	+	0	NA	promoter-TSS (YJL191W)	protein_coding-promoter-TSS (YJL191W)	-102	YJL191W	YJL191W	YJL191W			RPS14B			protein_coding
Interval_287	IV	1445658	1446051	+	0	NA	promoter-TSS (YDR497C)	protein_coding-promoter-TSS (YDR497C)	-387	YDR497C	YDR497C	YDR497C			ITR1			protein_coding
Interval_323	IX	197517	197816	+	0	NA	promoter-TSS (tE(CUC)I)	tRNA-promoter-TSS (tE(CUC)I)	74	tE(CUC)I	tE(CUC)I	tE(CUC)I			tE(CUC)I			tRNA
Interval_1254	XVI	731895	732163	+	0	NA	promoter-TSS (YPR102C)	protein_coding-promoter-TSS (YPR102C)	-281	YPR102C	YPR102C	YPR102C			RPL11A			protein_coding
