"","seqnames","start","end","width","strand","Conc","Conc_SPT5_T0","Conc_SPT5_T15","Fold","p.value","FDR","peak","feature","start_position","end_position","feature_strand","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","symbol"
"127","XII",808903,809581,679,"*",5.12226329272632,5.35618400963647,4.84293292678092,0.513251082855549,0.275460494743775,0.848071286967054,"362","YLR342W",809997,815627,"+","upstream",-755,416,"NearestLocation","FKS1"
"128","XV",931177,931577,401,"*",4.00649158436929,3.61463917179751,4.31432764508866,-0.699688473291143,0.278939846521747,0.852074062421899,"486","YOR327C",930734,931081,"-","upstream",-296,96,"NearestLocation","SNC2"
"129","XII",645725,646125,401,"*",4.52322374127005,4.18249497392645,4.79865718070569,-0.61616220677924,0.282235819405213,0.855458956491771,"349","YLR255C",645600,645953,"-","overlapStart",28,125,"NearestLocation","YLR255C"
"130","XV",670796,671196,401,"*",4.25987534723852,3.89592241702415,4.55026127078614,-0.65433885376199,0.285287911727253,0.857969413311565,"469","YOR178C",667860,670241,"-","upstream",-755,555,"NearestLocation","GAC1"
"131","II",165047,165447,401,"*",5.35941633154985,5.57319622802989,5.108353731763,0.464842496266888,0.289168113002488,0.857969413311565,"17","YBL029C-A",164488,164772,"-","upstream",-475,275,"NearestLocation","YBL029C-A"
"132","III",228563,228963,401,"*",4.18517089610203,4.47743294065283,3.81826019864412,0.65917274200871,0.291283390707838,0.857969413311565,"56","YCR064C",228095,228505,"-","upstream",-258,58,"NearestLocation","YCR064C"
"133","II",36332,36732,401,"*",4.22514495989572,4.51119127570151,3.86799578388712,0.643195491814388,0.291841258236415,0.857969413311565,"10","tF(GAA)B",36398,36488,"+","includeFeature",134,66,"NearestLocation","tF(GAA)B"
"134","X",360769,361169,401,"*",4.2108601850179,3.85456669604893,4.49635834362559,-0.641791647576659,0.302594527033804,0.861508478696674,"283","YJL042W",361249,365445,"+","upstream",-280,80,"NearestLocation","MHP1"
"135","XV",988012,988412,401,"*",5.21023489072642,5.42863609030861,4.95276970999456,0.475866380314051,0.305448211317181,0.861508478696674,"490","YOR348C",986899,988782,"-","inside",570,370,"NearestLocation","PUT4"
"136","IV",1490192,1490592,401,"*",5.13310500948744,5.35640408643557,4.8688003277977,0.487603758637869,0.310017400384538,0.861508478696674,"123","YDR525W-A",1490596,1490835,"+","upstream",-204,4,"NearestLocation","SNA2"
"137","XIV",569710,570110,401,"*",4.08426524230913,4.37114270391324,3.72581703694769,0.645325666965554,0.31091771479468,0.861508478696674,"431","tI(AAU)N1",569867,569940,"-","includeFeature",30,157,"NearestLocation","tI(AAU)N1"
"138","IV",599724,600396,673,"*",5.49827124646624,5.27616407336058,5.6907023512176,-0.414538277857017,0.31232639642665,0.861508478696674,"85","YDR077W",600793,601809,"+","upstream",-733,397,"NearestLocation","SED1"
"139","XV",316358,316758,401,"*",3.9863491814214,4.27195176245,3.62989275064228,0.642059011807725,0.317329010532329,0.861508478696674,"453","YOL004W",316938,321548,"+","upstream",-380,180,"NearestLocation","SIN3"
"140","XV",161089,161489,401,"*",4.8306225174949,5.064562984312,4.55126396277207,0.513299021539927,0.320753510282018,0.861508478696674,"446","YOL085W-A",161579,161791,"+","upstream",-290,90,"NearestLocation","YOL085W-A"
"141","XVI",927940,928340,401,"*",4.52842181512386,4.78989576734576,4.20883124054086,0.5810645268049,0.32244490526013,0.861508478696674,"536","YPR195C",927965,928294,"-","includeFeature",154,25,"NearestLocation","YPR195C"
"142","VII",884082,884482,401,"*",4.99051347043581,5.211874262167,4.72892210785397,0.482952154313032,0.325400344247215,0.861508478696674,"239","YGR192C",882812,883810,"-","upstream",-472,272,"NearestLocation","TDH3"
"143","XV",968048,968448,401,"*",4.28050506444066,3.94614999495996,4.55176504755453,-0.605615052594575,0.326600294991206,0.861508478696674,"487","YOR343C",968148,968474,"-","overlapEnd",226,26,"NearestLocation","YOR343C"
"144","IV",1362325,1362725,401,"*",4.13058744296403,3.78989576734576,4.4059966830913,-0.616100915745537,0.326924237066752,0.861508478696674,"115","YDR451C",1361120,1362181,"-","upstream",-344,144,"NearestLocation","YHP1"
"145","VIII",382769,383169,401,"*",4.68994960676722,4.92632760768444,4.40710478485051,0.519222822833932,0.327739912503101,0.861508478696674,"264","YHR141C",381990,382751,"-","upstream",-218,18,"NearestLocation","RPL42B"
"146","IV",357112,357512,401,"*",4.31275205131402,4.57680457333521,3.98929543370972,0.587509139625487,0.331294871429074,0.861508478696674,"72","YDL055C",355674,356759,"-","upstream",-553,353,"NearestLocation","PSA1"
"147","VII",165832,166232,401,"*",4.13564481514894,3.80098538741855,4.40710478485051,-0.606119397431953,0.332169992084296,0.861508478696674,"201","YGL179C",163409,165091,"-","upstream",-941,741,"NearestLocation","TOS3"
"148","VII",976828,977228,401,"*",4.28476267645383,3.9561052046344,4.5522659583579,-0.596160753723499,0.332432499003632,0.861508478696674,"243","YGR243W",977336,977776,"+","upstream",-308,108,"NearestLocation","MPC3"
"149","IV",368820,369220,401,"*",4.66341691152615,4.90108494506713,4.37872122319623,0.522363721870907,0.335808909556876,0.861508478696674,"73","YDL047W",369771,370706,"+","upstream",-751,551,"NearestLocation","SIT4"
"150","V",311305,311868,564,"*",4.64945729110273,4.36368274423425,4.88787598242316,-0.524193238188909,0.33714679178783,0.861508478696674,"169","YER075C",308413,311199,"-","upstream",-387,106,"NearestLocation","PTP3"
"151","IV",1401344,1401744,401,"*",4.44648948382821,4.69901111689511,4.14018829353148,0.558822823363629,0.337245050313398,0.861508478696674,"117","YDR471W",1401770,1402564,"+","upstream",-226,26,"NearestLocation","RPL27B"
"152","XIII",653249,653649,401,"*",5.07624051742178,4.78924383091356,5.31550841107985,-0.52626458016629,0.339549633884492,0.861508478696674,"403","YMR194C-A",652912,653136,"-","upstream",-313,113,"NearestLocation","YMR194C-A"
"153","IX",177567,177967,401,"*",4.35065346098527,4.04219248803592,4.60463943482004,-0.562446946784119,0.342242191738647,0.861508478696674,"135","YIL100C-A",177343,177681,"-","overlapStart",-86,114,"NearestLocation","YIL100C-A"
"154","IX",232376,232878,503,"*",4.98860183946888,5.20795760311613,4.72980804487093,0.478149558245201,0.347529604117058,0.861508478696674,"137","YIL069C",231553,232369,"-","upstream",-258,7,"NearestLocation","RPS24B"
"155","XVI",132160,132560,401,"*",4.17208091606553,3.84388288785508,4.4392801900779,-0.595397302222819,0.34956189850986,0.861508478696674,"503","YPL222C-A",131870,132115,"-","upstream",-245,45,"NearestLocation","YPL222C-A"
"156","V",335361,336038,678,"*",5.50243878428812,5.29958147067098,5.68025695813583,-0.38067548746485,0.350795642623212,0.861508478696674,"170","YER088C-A",335696,336019,"-","includeFeature",319,19,"NearestLocation","YER088C-A"
"157","XVI",645004,645715,712,"*",5.58974897791145,5.374423676514,5.77707090425218,-0.402647227738179,0.353074541323499,0.861508478696674,"524","YPR036W-A",645950,646153,"+","upstream",-590,235,"NearestLocation","SPO24"
"158","XIII",434259,434659,401,"*",4.43440785201251,4.67545450533469,4.14484554414978,0.530608961184918,0.358255192782649,0.861508478696674,"396","YMR083W",434788,435915,"+","upstream",-329,129,"NearestLocation","ADH3"
"159","V",280944,281344,401,"*",5.0683866648672,4.81682201142549,5.28253021528736,-0.465708203861874,0.35869858583931,0.861508478696674,"164","YER062C",279930,280682,"-","upstream",-462,262,"NearestLocation","GPP2"
"160","XV",911892,912292,401,"*",4.58358948662556,4.81166943702963,4.31255468213795,0.499114754891678,0.360354013859557,0.861508478696674,"485","YOR318C",911784,912436,"-","inside",344,108,"NearestLocation","YOR318C"
"161","XV",55158,55558,401,"*",3.96940556624352,3.62642518377003,4.24630607676967,-0.619880892999638,0.361930687068187,0.861508478696674,"439","YOL142W",55558,56280,"+","overlapStart",-200,0,"NearestLocation","RRP40"
"162","IV",1301213,1301613,401,"*",4.23533111422791,4.4976229600853,3.91451614317513,0.583106816910179,0.361948227400871,0.861508478696674,"111","YDR418W",1301616,1302113,"+","upstream",-203,3,"NearestLocation","RPL12B"
"163","VI",106442,106842,401,"*",4.87303958817783,4.62054421339144,5.08785671376619,-0.467312500374748,0.3625132186335,0.861508478696674,"189","YFL015W-A",106415,106732,"+","overlapEnd",227,27,"NearestLocation","YFL015W-A"
"164","XIII",271519,272219,701,"*",4.76378574317425,4.99041721787945,4.49479565908424,0.495621558795206,0.363434967889953,0.861508478696674,"389","YMR002W",272193,272663,"+","overlapStart",-324,26,"NearestLocation","MIX17"
"165","XVI",55949,56349,401,"*",4.22447449953556,4.48473137322384,3.90670270213396,0.578028671089876,0.363552171317011,0.861508478696674,"498","tW(CCA)P",56169,56274,"-","includeFeature",125,75,"NearestLocation","tW(CCA)P"
"166","I",190094,190494,401,"*",4.99851413562611,5.20795760311613,4.7534152017956,0.454542401320531,0.369953312245817,0.867611267046349,"6","YAR035W",190193,192256,"+","overlapStart",101,99,"NearestLocation","YAT1"
"167","XV",1043228,1043628,401,"*",4.16915436573315,4.42146829973769,3.86315907556763,0.558309224170057,0.372169631463853,0.867611267046349,"494","YOR376W",1043191,1043559,"+","overlapEnd",237,37,"NearestLocation","YOR376W"
"168","XIII",352875,353469,595,"*",5.32352670575894,5.11404861617396,5.5064095999242,-0.39236098375024,0.375617278853816,0.867611267046349,"393","YMR042W",352603,353136,"+","overlapEnd",569,261,"NearestLocation","ARG80"
"169","IV",132675,133075,401,"*",4.1829724375981,3.87508556204404,4.43656953008012,-0.561483968036076,0.379780599184119,0.867611267046349,"62","YDL182W",133437,134723,"+","upstream",-562,362,"NearestLocation","LYS20"
"170","XI",67866,68507,642,"*",5.27620325929959,5.45695635370618,5.06951585308185,0.387440500624328,0.38599938667671,0.867611267046349,"303","YKL201C",63930,67466,"-","upstream",-720,400,"NearestLocation","MNN4"
"171","VIII",505589,505989,401,"*",4.4448704495813,4.66941619141047,4.17881598534635,0.490600206064114,0.389794498860648,0.867611267046349,"267","YHR203C",504476,505530,"-","upstream",-259,59,"NearestLocation","RPS4B"
"172","XVI",450740,451140,401,"*",4.19627384760894,3.9062290654127,4.43765440531835,-0.531425339905647,0.390410476327949,0.867611267046349,"514","YPL058C",445842,450377,"-","upstream",-563,363,"NearestLocation","PDR12"
"173","XVI",406229,406629,401,"*",4.44106065580148,4.66335249822338,4.17816704866901,0.48518544955436,0.394255721101899,0.867611267046349,"511","YPL080C",406172,406498,"-","overlapStart",69,57,"NearestLocation","YPL080C"
"174","VII",809664,810064,401,"*",4.84020704720188,4.59528656620385,5.04952027630416,-0.45423371010031,0.402143865000904,0.867611267046349,"237","YGR161W-C",810227,810505,"+","upstream",-363,163,"NearestLocation","YGR161W-C"
"175","XV",877704,878104,401,"*",4.33810648153023,4.56346100987336,4.07091488193687,0.492546127936492,0.404074069747721,0.867611267046349,"481","YOR298C-A",877230,877685,"-","upstream",-219,19,"NearestLocation","MBF1"
"176","IX",249050,249670,621,"*",5.64821492826458,5.79805894489788,5.48098423690325,0.317074707994631,0.404888030420677,0.867611267046349,"138","tS(UGA)I",248850,248931,"+","downstream",510,119,"NearestLocation","SUP17"
"177","X",159891,160523,633,"*",5.01457172997967,5.2032963735528,4.79739003714112,0.405906336411682,0.405026965892004,0.867611267046349,"275","YJL133C-A",159623,159847,"-","upstream",-360,44,"NearestLocation","YJL133C-A"
"178","VII",609969,610369,401,"*",4.72537052943074,4.48432865490687,4.93184617474369,-0.447517519836819,0.405106492620246,0.867611267046349,"224","YGR060W",610564,611493,"+","upstream",-395,195,"NearestLocation","ERG25"
"179","II",466075,466670,596,"*",4.96847497261312,4.74500091204727,5.1619307481285,-0.416929836081237,0.405996416942949,0.867611267046349,"30","YBR112C",462870,465770,"-","upstream",-602,305,"NearestLocation","CYC8"
"180","XI",164551,164951,401,"*",4.18846079733394,4.42188895036068,3.90983315836308,0.5120557919976,0.406645726835065,0.867611267046349,"309","YKL152C",163642,164385,"-","upstream",-366,166,"NearestLocation","GPM1"
"181","XII",704406,704806,401,"*",5.00431016763275,4.77872024351309,5.19934873055332,-0.420628487040227,0.407500427692701,0.867611267046349,"353","YLR280C",704483,704833,"-","overlapEnd",227,27,"NearestLocation","YLR280C"
"182","XVI",454989,455389,401,"*",4.13256541191801,3.83311937058887,4.38041475557605,-0.547295384987185,0.407642030686443,0.867611267046349,"516","YPL055C",453992,454990,"-","overlapStart",-199,1,"NearestLocation","LGE1"
"183","XVI",829103,829503,401,"*",5.02349429734457,4.80617619263916,5.21232189086825,-0.406145698229098,0.41214772940696,0.867611267046349,"531","YPR149W",829918,830439,"+","upstream",-615,415,"NearestLocation","NCE102"
"184","XV",908454,909179,726,"*",5.13163981392717,4.92125477974747,5.3152133101689,-0.39395853042143,0.413364908712917,0.867611267046349,"484","YOR317W",909343,911445,"+","upstream",-527,164,"NearestLocation","FAA1"
"185","X",90158,90558,401,"*",4.95266527433202,5.14433049991157,4.73157828845217,0.412752211459403,0.414256851724915,0.867611267046349,"271","YJL178C",89282,90097,"-","upstream",-261,61,"NearestLocation","ATG27"
"186","XV",505104,505751,648,"*",5.07452893876595,5.2563942728556,4.86638534881003,0.390008924045572,0.415487221085212,0.867611267046349,"462","YOR096W",505794,506767,"+","upstream",-366,43,"NearestLocation","RPS7A"
"187","XVI",502330,503047,718,"*",5.56666937843442,5.38551662486973,5.72759218141679,-0.342075556547068,0.415806250179423,0.867611267046349,"518","YPL025C",502473,503030,"-","includeFeature",342,17,"NearestLocation","YPL025C"
"188","IV",1164896,1165296,401,"*",4.94457080603355,5.13146704238075,4.72980804487093,0.401658997509815,0.417750130890693,0.867611267046349,"103","YDR345C",1162957,1164660,"-","upstream",-436,236,"NearestLocation","HXT3"
"189","XV",443702,444102,401,"*",4.6208659566632,4.38594788813971,4.82283441577432,-0.436886527634612,0.421559925219002,0.867611267046349,"456","YOR062C",442725,443531,"-","upstream",-371,171,"NearestLocation","YOR062C"
"190","XIII",510821,511221,401,"*",4.85543223967172,4.63300912723873,5.04810033550806,-0.415091208269334,0.421601382963699,0.867611267046349,"398","YMR122C",510701,511075,"-","overlapStart",54,120,"NearestLocation","YMR122C"
"191","XV",514643,515043,401,"*",4.18612993722699,3.92662406517963,4.4059966830913,-0.47937261791167,0.432970098735293,0.873348646198934,"464","YOR101W",515244,516173,"+","upstream",-401,201,"NearestLocation","RAS1"
"192","XIV",663776,664176,401,"*",4.63215097306422,4.82802477687569,4.40544231288262,0.422582463993072,0.438405390063764,0.873348646198934,"435","YNR018W",664270,664944,"+","upstream",-294,94,"NearestLocation","RCF2"
"193","VII",788252,788652,401,"*",4.63125815331634,4.82770734763178,4.40377792297519,0.423929424656594,0.438561965548352,0.873348646198934,"236","YGR149W",789031,790329,"+","upstream",-579,379,"NearestLocation","YGR149W"
"194","VII",547306,547706,401,"*",4.62380878278301,4.39286481971889,4.82283441577432,-0.429969596055428,0.442952610177781,0.873348646198934,"220","YGR031C-A",546809,547300,"-","upstream",-206,6,"NearestLocation","NAG1"
"195","V",467839,468239,401,"*",4.16074723283908,3.9062290654127,4.3770257004977,-0.470796635084994,0.448926874808503,0.873348646198934,"182","YER150W",468370,468816,"+","upstream",-331,131,"NearestLocation","SPI1"
"196","XIII",124170,124570,401,"*",4.08187123674002,4.30348572794774,3.81992522884852,0.483560499099217,0.449090231515885,0.873348646198934,"383","YML073C",123227,124172,"-","overlapStart",-198,2,"NearestLocation","RPL6A"
"197","X",424178,424578,401,"*",4.12240940575395,4.34151334332571,3.86396632052318,0.477547022802527,0.449685473774651,0.873348646198934,"286","tL(UAA)J",424432,424515,"-","includeFeature",137,63,"NearestLocation","SUP51"
"198","VIII",450670,451070,401,"*",4.80938620128463,4.99013358481829,4.60270626525821,0.387427319560076,0.453000936916866,0.873348646198934,"266","YHR173C",450815,451153,"-","overlapEnd",283,83,"NearestLocation","YHR173C"
"199","X",647001,647401,401,"*",4.5354398872086,4.72801112621066,4.31314591191426,0.414865214296409,0.453361387131302,0.873348646198934,"294","YJR120W",647126,647476,"+","overlapStart",75,75,"NearestLocation","YJR120W"
"200","VII",625234,625634,401,"*",4.66702674190095,4.27148503422799,4.97712963686048,-0.705644602632486,0.45792965632564,0.873348646198934,"225","YGR067C",622372,624786,"-","upstream",-648,448,"NearestLocation","YGR067C"
"201","V",41979,42379,401,"*",4.48635585442087,4.26442855366543,4.67865199349409,-0.414223439828653,0.459177180958959,0.873348646198934,"150","YEL060C",40046,41953,"-","upstream",-226,26,"NearestLocation","PRB1"
"202","X",195295,195695,401,"*",4.38828603719717,4.59603229014887,4.14550964006858,0.450522650080286,0.459954940494353,0.873348646198934,"276","YJL116C",193860,194873,"-","upstream",-622,422,"NearestLocation","NCA3"
"203","XI",231265,231665,401,"*",4.33303125634426,4.55076237918565,4.07649746985423,0.474264909331422,0.461541795212214,0.873348646198934,"311","YKL109W",232227,233891,"+","upstream",-762,562,"NearestLocation","HAP4"
"204","XIII",661723,662123,401,"*",4.5702426970729,4.32579312166031,4.77921211618043,-0.453418994520116,0.462377774044239,0.873348646198934,"404","YMR199W",662644,664284,"+","upstream",-721,521,"NearestLocation","CLN1"
"205","XVI",641175,641575,401,"*",5.13483874164474,4.951136186678,5.29776992190603,-0.346633735228027,0.463689623099163,0.873348646198934,"523","YPR035W",642208,643320,"+","upstream",-833,633,"NearestLocation","GLN1"
"206","XIII",119182,119582,401,"*",4.03236816139704,3.7793769517274,4.24754382350846,-0.468166871781059,0.463690076110062,0.873348646198934,"382","YML075C",115734,118898,"-","upstream",-484,284,"NearestLocation","HMG1"
"207","VIII",148712,149112,401,"*",4.35465093714092,4.56422336273066,4.10937526710207,0.454848095628597,0.464727818438691,0.873348646198934,"256","YHR021C",147871,148669,"-","upstream",-243,43,"NearestLocation","RPS27B"
"208","VII",483711,484111,401,"*",4.37293795163999,4.57033796295929,4.14418114239606,0.426156820563226,0.466285428195909,0.873348646198934,"218","YGL007W",483260,483637,"+","downstream",651,74,"NearestLocation","BRP1"
"209","XI",322379,322779,401,"*",4.65599953284823,4.43576844488849,4.84702148320274,-0.411253038314254,0.466828304489967,0.873348646198934,"316","YKL062W",323228,325120,"+","upstream",-649,449,"NearestLocation","MSN4"
"210","VIII",4948,5348,401,"*",4.13894869769758,4.36412058292328,3.87201402425355,0.492106558669732,0.470656491438041,0.876317562629876,"249","YHL049C",3726,4541,"-","upstream",-607,407,"NearestLocation","YHL049C"
"211","VIII",374964,375364,401,"*",3.9728994759526,4.18249497392645,3.72759218141679,0.454902792509658,0.476570370732821,0.876649962539755,"263","YHR136C",374654,375100,"-","overlapStart",-64,136,"NearestLocation","SPL2"
"212","II",193509,193909,401,"*",4.54564318350432,4.33389818133137,4.73025080944775,-0.396352628116379,0.479086421239248,0.876649962539755,"19","YBL015W",194122,195702,"+","upstream",-413,213,"NearestLocation","ACH1"
"213","VII",148959,149359,401,"*",4.52286567479675,4.70458136960931,4.3149181488832,0.389663220726116,0.48215333066181,0.876649962539755,"199","YGL188C-A",148824,148964,"-","overlapStart",-195,5,"NearestLocation","YGL188C-A"
"214","I",68146,68723,578,"*",5.49404964643598,5.62972091134612,5.3442828249192,0.285438086426918,0.483133285468708,0.876649962539755,"4","YAL040C",65778,67520,"-","upstream",-914,626,"NearestLocation","CLN3"
"215","II",135690,136348,659,"*",5.2017586142394,5.35640408643557,5.02852381899783,0.327880267437735,0.48320932228642,0.876649962539755,"14","YBL044W",135998,136366,"+","overlapStart",21,18,"NearestLocation","YBL044W"
"216","V",305871,306271,401,"*",4.16082369182966,3.9056276454543,4.37759109616584,-0.471963450711547,0.486278993377951,0.876649962539755,"168","YER074W",306323,307196,"+","upstream",-252,52,"NearestLocation","RPS24A"
"217","II",555159,555559,401,"*",4.1470026093707,3.91646260483849,4.34572831990528,-0.429265715066789,0.487661347261204,0.876649962539755,"33","YBR157C",553543,554310,"-","upstream",-1049,849,"NearestLocation","ICS2"
"218","VII",726523,726923,401,"*",4.61212023571905,4.78989576734576,4.40931843830842,0.380577329037341,0.490445566317501,0.876649962539755,"230","YGR117C",725049,726479,"-","upstream",-244,44,"NearestLocation","YGR117C"
"219","II",159749,160149,401,"*",4.35561034611442,4.131209829539,4.54975966334049,-0.418549833801492,0.491013661882881,0.876649962539755,"16","YBL032W",160184,161329,"+","upstream",-235,35,"NearestLocation","HEK2"
"220","XIII",540075,540764,690,"*",5.48844351768252,5.32985134326576,5.63131581341569,-0.301464470149934,0.495754184969385,0.881090392377406,"399","YMR135C",538689,540056,"-","upstream",-364,19,"NearestLocation","GID8"
"221","IX",68272,68672,401,"*",4.90791794521091,5.06888832486364,4.72670488220752,0.342183442656119,0.505496030397956,0.882596501440329,"128","YIL148W",68708,69528,"+","upstream",-236,36,"NearestLocation","RPL40A"
"222","X",157304,157704,401,"*",4.40047889052613,4.58965148224457,4.18270348748877,0.406947994755802,0.505665590002146,0.882596501440329,"274","YJL136C",156550,157273,"-","upstream",-231,31,"NearestLocation","RPS21B"
"223","XI",630404,630804,401,"*",3.95916047840179,4.15733291825886,3.7293651443675,0.427967773891354,0.506771528390924,0.882596501440329,"327","YKR097W",631152,632801,"+","upstream",-548,348,"NearestLocation","PCK1"
"224","XIV",440887,441287,401,"*",4.73968196863795,4.55076237918565,4.90670270213396,-0.355940322948316,0.509682814312761,0.882596501440329,"427","YNL097C-B",440797,440919,"-","overlapStart",-168,32,"NearestLocation","YNL097C-B"
"225","XVI",76266,76666,401,"*",4.67872561711054,4.84388288785508,4.49218741750089,0.351695470354194,0.51112575534317,0.882596501440329,"500","YPL249C-A",75699,76239,"-","upstream",-227,27,"NearestLocation","RPL36B"
"226","VII",271254,271654,401,"*",5.16630694762098,4.99950907107573,5.31580345164073,-0.316294380565004,0.512185126024237,0.882596501440329,"205","YGL126W",270997,272139,"+","inside",457,257,"NearestLocation","SCS3"
"227","II",477017,477417,401,"*",4.47446224145947,4.64500698700912,4.28101995827556,0.36398702873356,0.514058705831708,0.882596501440329,"31","YBR118W",477671,479047,"+","upstream",-454,254,"NearestLocation","TEF2"
"228","IV",811781,812181,401,"*",4.12353287930469,4.31080850694259,3.90826877933253,0.402539727610059,0.514659852502289,0.882596501440329,"91","YDR174W",812110,812850,"+","overlapStart",-129,71,"NearestLocation","HMO1"
"229","IV",591747,592147,401,"*",5.09420024615233,5.24042872554895,4.9314611595002,0.308967566048741,0.523217537700241,0.893059189098681,"83","YDR073W",592439,592948,"+","upstream",-492,292,"NearestLocation","SNF11"
"230","III",137000,137631,632,"*",5.27352056046448,5.40744987222089,5.12587395720471,0.281575915016179,0.52532893476393,0.893059189098681,"53","YCR012W",137746,138996,"+","upstream",-430,115,"NearestLocation","PGK1"
"231","XV",678792,679192,401,"*",4.16071470683259,3.94614999495996,4.34746100430026,-0.401311009340305,0.528801274207557,0.89507055504396,"471","YOR182C",678191,678793,"-","overlapStart",-199,1,"NearestLocation","RPS30B"
"232","XV",901239,901639,401,"*",4.30444594126535,4.47783758819764,4.10733147258841,0.370506115609232,0.545384155747068,0.902485465260581,"483","YOR312C",900250,901194,"-","upstream",-245,45,"NearestLocation","RPL20B"
"233","XV",742196,742596,401,"*",4.30474325263555,4.47783758819764,4.10801305918162,0.369824529016022,0.546700427605366,0.902485465260581,"474","YOR212W",742910,744181,"+","upstream",-514,314,"NearestLocation","STE4"
"234","XII",253271,253671,401,"*",4.63246769390639,4.44245113438213,4.80034497605344,-0.357893841671304,0.548200656215418,0.902485465260581,"336","YLR056W",253861,254958,"+","upstream",-390,190,"NearestLocation","ERG3"
"235","VII",433210,433610,401,"*",4.38601347921616,4.19935632577727,4.55126396277207,-0.351907636994801,0.54991931088999,0.902485465260581,"215","YGL034C",433214,433579,"-","includeFeature",169,4,"NearestLocation","YGL034C"
"236","XIII",169794,170330,537,"*",4.76510312705291,4.91105529674067,4.60270626525821,0.308349031482459,0.550036480344497,0.902485465260581,"386","YML053C",169116,169754,"-","upstream",-308,40,"NearestLocation","YML053C"
"237","XV",218692,219092,401,"*",4.07391772849649,3.87569984714646,4.24816229888802,-0.372462451741559,0.550320706474018,0.902485465260581,"449","YOL058W",219211,220473,"+","upstream",-319,119,"NearestLocation","ARG1"
"238","V",423146,423546,401,"*",4.2644680596558,4.43618494717337,4.06951585308185,0.366669094091523,0.551986656836458,0.902485465260581,"177","YER131W",423952,424311,"+","upstream",-606,406,"NearestLocation","RPS26B"
"239","IX",316265,316665,401,"*",4.36263279916305,4.52463317151894,4.18011298366503,0.344520187853914,0.553587128290805,0.902485465260581,"142","YIL018W",316768,317932,"+","upstream",-303,103,"NearestLocation","RPL2B"
"240","VIII",48226,48626,401,"*",5.02878464662389,5.17473878355338,4.86638534881003,0.308353434743345,0.555859984883684,0.902485465260581,"250","YHL028W",48763,50580,"+","upstream",-337,137,"NearestLocation","WSC4"
"241","IX",332681,333081,401,"*",4.38800831800297,4.20771367340853,4.54825379373716,-0.340540120328629,0.556263419764194,0.902485465260581,"143","YIL012W",333011,333352,"+","overlapStart",-130,70,"NearestLocation","YIL012W"
"242","XII",1071439,1071839,401,"*",4.7135841324955,4.85987907647212,4.55076270388961,0.309116372582509,0.565103246233705,0.911981194807494,"374","YLR466C-B",1071594,1071710,"-","includeFeature",71,129,"NearestLocation","YLR466C-B"
"243","II",168012,168412,401,"*",5.03038577001267,5.16138925762618,4.88628759892371,0.275101658702468,0.566781151760156,0.911981194807494,"18","YBL027W",168423,169376,"+","upstream",-211,11,"NearestLocation","RPL19B"
"244","XVI",453318,453718,401,"*",4.34980075279725,4.15682759000374,4.51998087977365,-0.363153289769906,0.57134953740028,0.915564217719302,"515","YPL056C",453430,453735,"-","overlapEnd",217,17,"NearestLocation","LCL1"
"245","II",697417,697817,401,"*",4.09383917986674,4.2563942728556,3.91061471221545,0.345779560640154,0.58557536168222,0.933538974585187,"44","YBR238C",695107,697302,"-","upstream",-315,115,"NearestLocation","YBR238C"
"246","II",426752,427152,401,"*",4.64962301854907,4.48392582414248,4.79823492316695,-0.314309099024474,0.590627069626788,0.933538974585187,"27","YBR090C",426333,427058,"-","overlapStart",106,94,"NearestLocation","YBR090C"
"247","V",222185,222585,401,"*",4.63764027470928,4.48432865490687,4.77621352886647,-0.291884873959604,0.591554309403961,0.933538974585187,"162","YER035W",222639,223076,"+","upstream",-254,54,"NearestLocation","EDC2"
"248","II",203053,203453,401,"*",4.28080578788922,4.43618494717337,4.10664956383434,0.329535383339035,0.592116792064262,0.933538974585187,"21","YBL011W",203538,205817,"+","upstream",-285,85,"NearestLocation","SCT1"
"249","V",284570,284970,401,"*",5.13938619674036,5.25615839748667,5.0123233796811,0.243835017805575,0.597548409282865,0.938318988070683,"165","YER064C",282705,284222,"-","upstream",-548,348,"NearestLocation","VHR2"
"250","X",123070,123470,401,"*",4.25374096951419,4.08765276461653,4.40266726199436,-0.315014497377828,0.605555260019124,0.939775934201241,"273","YJL158C",122265,122948,"-","upstream",-322,122,"NearestLocation","CIS3"
"251","XV",288303,288703,401,"*",3.99401429464937,4.14867767297676,3.8207570238936,0.327920649083155,0.605990797888964,0.939775934201241,"451","YOL019W-A",288420,288572,"+","includeFeature",83,117,"NearestLocation","YOL019W-A"
"252","X",391840,392240,401,"*",4.33612779540572,4.47743294065283,4.17946463025761,0.29796831039522,0.607540495910708,0.939775934201241,"285","YJL027C",391833,392249,"-","inside",209,7,"NearestLocation","YJL027C"
"253","XV",779468,779868,401,"*",4.94072240406307,5.069693873945,4.79907931469146,0.270614559253537,0.608090310365509,0.939775934201241,"477","YOR235W",779870,780184,"+","upstream",-202,2,"NearestLocation","IRC13"
"254","VI",81967,82367,401,"*",4.03884858911536,4.19095028287895,3.8688003277977,0.322149955081247,0.612124920503799,0.940774222068558,"187","YFL027C",80419,81912,"-","upstream",-255,55,"NearestLocation","GYP8"
