# HOMER Peaks
# Peak finding parameters:
# tag directory = SPT5_T15_R1_Tagdir
#
# total peaks = 721
# peak size = 97
# peaks found using tags on both strands
# minimum distance between peaks = 194
# fragment length = 78
# genome size = 12130177
# Total tags = 60270.0
# Total tags in peaks = 7475.0
# Approximate IP efficiency = 12.40%
# tags per bp = 0.004917
# expected tags per peak = 0.477
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 7.350817e-07
# FDR tag threshold = 7.0
# number of putative peaks = 762
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 41
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks SPT5_T15_R1_Tagdir -style factor -o SPT5_T15_R1_homer_narrowPeak.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Clonal Fold Change
IX-10	IX	268026	268122	+	1659.2	0.727	10.500000	15.83	1.48e-09	0.95
IX-11	IX	439757	439841	+	1659.2	0.767	10.500000	34.03	9.86e-13	0.95
V-22	V	140599	140695	+	1659.2	0.774	11.000000	14.58	3.03e-08	0.91
V-27	V	264422	264518	+	1659.2	0.690	10.000000	10.58	6.10e-08	0.95
V-28	V	377841	377937	+	1659.2	0.875	10.000000	44.39	7.41e-14	0.95
V-29	V	423250	423346	+	1659.2	0.679	10.000000	16.47	1.02e-09	0.95
V-30	V	570115	570211	+	1659.2	0.556	10.000000	15.95	1.38e-09	0.95
VI-9	VI	221657	221753	+	1659.2	0.500	10.000000	5.90	1.17e-05	0.95
VII-33	VII	159260	159356	+	1659.2	0.714	10.000000	34.03	9.86e-13	0.95
VII-28	VII	190942	191038	+	1659.2	0.806	11.000000	24.02	2.84e-11	0.95
VII-19	VII	598870	598966	+	1659.2	0.651	12.500000	17.45	5.93e-10	0.95
VII-36	VII	986955	987051	+	1659.2	0.694	10.000000	12.45	1.38e-08	0.95
X-9	X	90368	90464	+	1659.2	0.478	12.000000	17.30	6.42e-10	0.95
X-16	X	623195	623291	+	1659.2	0.622	10.500000	12.01	1.92e-08	0.95
XI-16	XI	327855	327951	+	1659.2	0.583	10.000000	24.90	2.01e-11	0.95
XII-17	XII	329466	329562	+	1659.2	0.677	11.000000	20.86	1.47e-09	0.91
XII-18	XII	489575	489671	+	1659.2	0.684	11.000000	16.21	1.19e-09	0.95
XII-23	XII	921784	921880	+	1659.2	0.581	10.000000	12.92	9.78e-09	0.95
XIII-26	XIII	124338	124434	+	1659.2	0.714	10.500000	28.36	5.76e-12	0.95
XIII-29	XIII	388426	388522	+	1659.2	0.639	10.000000	15.01	2.43e-09	0.95
XIII-30	XIII	511014	511110	+	1659.2	0.732	10.000000	17.60	5.47e-10	1.06
XIV-14	XIV	310247	310343	+	1659.2	0.655	10.000000	46.41	4.80e-14	0.95
XIV-8	XIV	427128	427224	+	1659.2	0.532	12.000000	21.96	6.71e-11	0.95
XIV-12	XIV	662015	662111	+	1659.2	0.727	10.500000	10.86	4.81e-08	0.95
XV-45	XV	117967	118063	+	1659.2	0.750	9.500000	63.81	2.11e-15	1.01
XV-40	XV	446871	446967	+	1659.2	0.588	10.500000	14.18	4.14e-09	0.95
XV-44	XV	682260	682356	+	1659.2	0.690	10.000000	13.61	6.05e-09	0.95
XV-41	XV	797185	797281	+	1659.2	0.733	10.500000	31.41	2.14e-12	0.95
XVI-24	XVI	431725	431821	+	1659.2	0.711	10.500000	9.32	2.10e-07	0.95
XVI-26	XVI	497814	497910	+	1659.2	0.667	10.000000	13.70	5.69e-09	0.95
II-17	II	89571	89667	+	1576.2	0.679	11.000000	27.71	1.28e-10	0.91
II-25	II	490650	490746	+	1576.2	0.618	9.500000	12.85	8.70e-08	0.91
II-21	II	697583	697679	+	1576.2	0.655	10.500000	19.21	2.98e-09	0.91
III-4	III	383	479	+	1576.2	0.538	10.500000	24.87	3.26e-10	0.91
IV-35	IV	132935	133031	+	1576.2	0.632	10.000000	14.70	2.85e-08	0.91
IV-41	IV	227051	227147	+	1576.2	0.808	9.500000	18.65	3.82e-09	0.91
IV-50	IV	330809	330905	+	1576.2	0.862	9.000000	20.86	1.47e-09	0.96
IV-42	IV	478840	478936	+	1576.2	0.864	9.500000	33.44	2.50e-11	0.91
IV-43	IV	599823	599919	+	1576.2	0.514	9.500000	8.86	1.98e-06	0.91
IV-21	IV	680206	680302	+	1576.2	0.553	11.500000	31.80	3.87e-11	0.91
IV-40	IV	1468856	1468952	+	1576.2	0.605	10.000000	12.76	9.19e-08	0.91
IV-46	IV	1496654	1496750	+	1576.2	0.769	9.500000	26.57	1.84e-10	0.91
VI-7	VI	82306	82402	+	1576.2	0.700	10.500000	31.29	4.46e-11	0.91
VI-11	VI	107363	107459	+	1576.2	0.633	9.500000	9.11	1.58e-06	0.91
VI-10	VI	223925	224021	+	1576.2	0.697	10.000000	5.43	8.84e-05	0.91
VII-38	VII	197129	197225	+	1576.2	0.679	9.500000	15.15	2.20e-08	0.91
VII-30	VII	525691	525787	+	1576.2	0.742	10.500000	11.34	1.55e-07	0.96
VII-34	VII	592929	593025	+	1576.2	0.524	10.000000	7.16	1.07e-05	0.91
VII-35	VII	661870	661966	+	1576.2	0.607	10.000000	57.05	2.30e-13	0.91
VII-37	VII	1084156	1084252	+	1576.2	0.600	10.000000	26.21	2.07e-10	0.91
VIII-15	VIII	470668	470764	+	1576.2	0.840	10.500000	35.92	1.34e-11	0.91
X-19	X	173302	173398	+	1576.2	0.559	9.000000	26.57	1.84e-10	0.96
X-18	X	716003	716099	+	1576.2	0.821	9.500000	18.13	4.86e-09	0.91
XI-19	XI	68781	68877	+	1576.2	0.786	9.500000	8.15	3.86e-06	0.91
XII-24	XII	370669	370765	+	1576.2	0.579	9.500000	9.19	1.47e-06	0.91
XII-25	XII	423999	424095	+	1576.2	0.677	9.500000	14.37	3.43e-08	0.91
XIII-35	XIII	759035	759131	+	1576.2	0.645	9.500000	12.12	1.40e-07	0.91
XIII-36	XIII	793529	793625	+	1576.2	0.720	9.500000	13.88	2.65e-07	0.91
XIII-32	XIII	924165	924261	+	1576.2	0.742	10.000000	38.80	6.83e-12	0.91
XIV-13	XIV	6693	6789	+	1576.2	0.579	10.000000	39.59	5.72e-12	0.91
XIV-16	XIV	335909	336005	+	1576.2	0.613	9.500000	8.95	6.37e-06	0.91
XIV-10	XIV	663897	663993	+	1576.2	0.767	11.000000	11.08	2.92e-07	0.91
XV-46	XV	285794	285890	+	1576.2	0.821	9.500000	16.03	1.37e-08	0.91
XV-48	XV	901384	901480	+	1576.2	0.667	9.500000	21.55	1.11e-09	0.91
XVI-30	XVI	76389	76485	+	1576.2	0.700	9.000000	11.65	9.61e-07	0.96
XVI-31	XVI	159651	159747	+	1576.2	0.760	9.000000	30.79	5.13e-11	0.96
XVI-32	XVI	406386	406482	+	1576.2	0.688	9.000000	16.03	1.37e-08	1.02
II-22	II	36519	36615	+	1493.3	0.679	9.500000	39.10	3.97e-12	0.96
II-29	II	466948	467044	+	1493.3	0.621	9.000000	12.67	6.22e-08	0.96
II-26	II	628578	628674	+	1493.3	0.559	9.500000	17.50	4.14e-09	0.96
III-6	III	704	800	+	1493.3	0.700	9.500000	22.69	4.51e-10	0.96
IV-36	IV	591858	591954	+	1493.3	0.512	10.000000	7.32	5.88e-06	1.02
IV-37	IV	593512	593608	+	1493.3	0.420	10.000000	7.12	7.31e-06	0.96
IV-28	IV	769048	769144	+	1493.3	0.556	10.500000	14.82	1.69e-08	0.96
IV-44	IV	894211	894307	+	1493.3	0.595	9.500000	13.03	4.93e-08	0.96
IV-53	IV	1011795	1011891	+	1493.3	0.606	9.000000	9.57	6.19e-07	0.96
IV-32	IV	1242390	1242486	+	1493.3	0.710	10.500000	12.25	8.24e-08	0.96
IV-33	IV	1469174	1469270	+	1493.3	0.639	10.500000	12.01	9.70e-08	0.96
IV-47	IV	1524883	1524979	+	1493.3	0.731	9.500000	23.87	2.92e-10	0.96
IX-18	IX	138233	138329	+	1493.3	0.704	9.000000	9.67	5.68e-07	0.96
IX-12	IX	169869	169965	+	1493.3	0.667	10.000000	16.12	8.31e-09	0.96
IX-15	IX	382240	382336	+	1493.3	0.575	9.500000	7.35	5.70e-06	0.96
IX-16	IX	386459	386555	+	1493.3	0.688	9.500000	6.66	1.24e-05	0.96
IX-13	IX	439270	439366	+	1493.3	0.880	10.000000	28.71	5.88e-11	0.96
V-26	V	69378	69474	+	1493.3	0.514	10.000000	11.34	1.55e-07	0.96
VI-8	VI	95701	95797	+	1493.3	0.628	10.500000	11.27	1.63e-07	0.96
VI-12	VI	226086	226182	+	1493.3	0.679	9.500000	5.13	9.03e-05	0.96
VII-42	VII	95460	95556	+	1493.3	0.720	9.000000	13.82	3.03e-08	0.96
VII-43	VII	319819	319915	+	1493.3	0.704	9.000000	13.77	2.81e-07	0.91
VII-45	VII	516397	516493	+	1493.3	0.548	9.000000	17.89	4.00e-08	0.91
VII-41	VII	785468	785564	+	1493.3	0.487	9.500000	9.14	8.94e-07	0.96
VII-32	VII	785756	785852	+	1493.3	0.625	10.500000	9.99	4.39e-07	0.96
VII-46	VII	871551	871647	+	1493.3	0.905	9.000000	43.75	1.48e-12	1.02
VII-47	VII	1011302	1011398	+	1493.3	0.783	9.000000	25.15	3.01e-09	0.91
VIII-19	VIII	123723	123819	+	1493.3	0.773	9.000000	8.34	1.17e-05	0.91
VIII-20	VIII	209387	209483	+	1493.3	0.880	9.000000	19.76	1.47e-09	0.96
VIII-22	VIII	540845	540941	+	1493.3	0.679	9.000000	91.88	2.07e-15	0.96
X-17	X	236668	236764	+	1493.3	0.700	10.000000	20.42	1.11e-09	0.96
XI-18	XI	84	180	+	1493.3	0.655	9.500000	35.34	9.63e-12	0.96
XI-15	XI	166042	166138	+	1493.3	0.686	10.000000	14.03	2.67e-08	0.96
XI-26	XI	248280	248376	+	1493.3	0.800	9.000000	26.25	1.28e-10	0.96
XI-21	XI	431632	431728	+	1493.3	0.600	9.500000	14.72	1.10e-07	0.96
XI-17	XI	462901	462997	+	1493.3	0.731	10.000000	20.19	1.22e-09	0.96
XII-20	XII	84226	84322	+	1493.3	0.730	10.000000	12.67	6.22e-08	1.02
XII-21	XII	289747	289843	+	1493.3	0.700	10.000000	22.69	4.51e-10	0.96
XII-28	XII	645875	645971	+	1493.3	0.611	9.500000	11.41	1.48e-07	0.96
XII-32	XII	658208	658304	+	1493.3	0.677	9.000000	14.25	2.35e-08	0.96
XII-22	XII	828094	828190	+	1493.3	0.706	10.000000	13.82	3.03e-08	0.96
XII-33	XII	839541	839637	+	1493.3	0.720	9.000000	13.61	3.43e-08	0.96
XII-34	XII	871449	871545	+	1493.3	0.606	9.000000	20.19	1.22e-09	0.96
XII-36	XII	954445	954541	+	1493.3	0.531	9.000000	9.14	8.94e-07	0.96
XII-43	XII	955054	955150	+	1493.3	0.667	8.000000	9.42	7.01e-07	1.08
XIII-37	XIII	91135	91231	+	1493.3	0.594	9.000000	19.68	1.23e-08	0.96
XIII-41	XIII	472875	472971	+	1493.3	0.741	9.000000	18.75	2.30e-09	0.96
XIV-17	XIV	281804	281900	+	1493.3	0.594	9.000000	19.34	1.77e-09	0.96
XV-55	XV	1043449	1043545	+	1493.3	0.818	9.000000	12.49	5.79e-07	0.91
XVI-36	XVI	587381	587477	+	1493.3	0.621	8.500000	14.82	1.69e-08	1.02
XVI-28	XVI	775462	775558	+	1493.3	0.778	9.500000	26.63	1.13e-10	0.96
II-28	II	45270	45366	+	1410.3	0.700	9.000000	15.09	1.43e-07	0.91
II-23	II	159802	159898	+	1410.3	0.714	9.500000	12.76	4.94e-07	0.91
II-30	II	555316	555412	+	1410.3	0.667	9.000000	17.71	4.32e-08	0.91
II-39	II	682038	682134	+	1410.3	0.567	8.000000	11.65	9.61e-07	1.10
III-7	III	123571	123667	+	1410.3	0.643	9.500000	11.05	1.40e-06	0.91
IV-34	IV	117391	117487	+	1410.3	0.741	10.000000	30.45	6.92e-10	0.91
IV-49	IV	258667	258763	+	1410.3	0.760	9.000000	27.55	1.50e-09	0.91
IV-51	IV	794326	794422	+	1410.3	0.800	9.000000	29.42	9.03e-10	0.91
IV-60	IV	806252	806348	+	1410.3	0.562	8.500000	18.86	2.68e-08	0.91
IV-52	IV	930519	930615	+	1410.3	0.760	9.000000	11.97	7.89e-07	0.91
IV-61	IV	976252	976348	+	1410.3	0.731	8.500000	16.85	6.28e-08	0.91
IV-45	IV	1164818	1164914	+	1410.3	0.625	9.500000	8.60	5.50e-06	0.96
IV-63	IV	1166458	1166554	+	1410.3	0.714	8.500000	9.04	5.92e-06	0.91
IV-64	IV	1279452	1279548	+	1410.3	0.692	8.500000	11.65	9.61e-07	0.91
IV-54	IV	1280008	1280104	+	1410.3	0.864	9.000000	11.81	8.71e-07	0.91
IV-56	IV	1450965	1451061	+	1410.3	0.864	9.000000	32.75	3.94e-10	0.91
IX-17	IX	131926	132022	+	1410.3	0.760	9.000000	17.36	5.03e-08	0.96
IX-19	IX	139243	139339	+	1410.3	0.692	8.500000	9.38	4.55e-06	0.91
IX-23	IX	314920	315016	+	1410.3	0.760	8.500000	17.18	5.42e-08	1.03
V-24	V	6279	6375	+	1410.3	0.600	10.500000	20.66	1.35e-08	0.96
V-34	V	132806	132902	+	1410.3	0.826	9.000000	17.89	4.00e-08	0.91
V-36	V	467944	468040	+	1410.3	0.643	9.000000	13.77	2.81e-07	0.91
V-38	V	569837	569933	+	1410.3	0.630	8.500000	13.25	3.75e-07	0.91
VII-53	VII	166343	166439	+	1410.3	0.680	8.000000	15.64	1.10e-07	0.96
VII-39	VII	200266	200362	+	1410.3	0.692	9.500000	12.86	4.68e-07	0.91
VII-44	VII	438542	438638	+	1410.3	0.692	9.000000	16.53	7.25e-08	0.91
VIII-18	VIII	5100	5196	+	1410.3	0.545	9.000000	26.30	2.14e-09	0.91
VIII-17	VIII	292817	292913	+	1410.3	0.741	9.500000	6.62	5.88e-05	0.91
VIII-25	VIII	556616	556712	+	1410.3	0.667	8.500000	21.97	8.46e-09	0.91
X-21	X	159963	160059	+	1410.3	0.552	8.500000	12.49	5.79e-07	0.91
X-22	X	391554	391650	+	1410.3	0.613	8.500000	14.23	2.22e-07	0.91
X-23	X	545333	545429	+	1410.3	0.577	8.500000	15.09	1.43e-07	0.91
XI-25	XI	226278	226374	+	1410.3	0.692	9.000000	13.56	3.16e-07	0.91
XI-29	XI	278493	278589	+	1410.3	0.607	8.500000	17.89	4.00e-08	0.91
XI-27	XI	308773	308869	+	1410.3	0.720	9.000000	23.78	4.63e-09	0.91
XI-28	XI	382956	383052	+	1410.3	0.852	9.000000	7.32	2.93e-05	0.91
XI-22	XI	615242	615338	+	1410.3	0.677	9.500000	10.39	2.19e-06	0.91
XII-31	XII	490714	490810	+	1410.3	0.735	9.000000	12.76	4.94e-07	0.91
XII-26	XII	522298	522394	+	1410.3	0.559	9.500000	19.95	1.76e-08	0.91
XII-27	XII	628417	628513	+	1410.3	0.778	9.500000	25.90	2.40e-09	0.91
XII-41	XII	737843	737939	+	1410.3	0.667	8.000000	24.44	3.74e-09	0.96
XIII-33	XIII	119346	119442	+	1410.3	0.793	9.500000	19.07	2.47e-08	0.91
XIII-38	XIII	159089	159185	+	1410.3	0.833	9.000000	21.97	8.46e-09	0.91
XIII-45	XIII	253513	253609	+	1410.3	0.667	8.500000	19.28	2.27e-08	0.91
XIII-39	XIII	272900	272996	+	1410.3	0.810	9.000000	18.66	2.91e-08	0.91
XIII-40	XIII	287566	287662	+	1410.3	0.537	9.000000	9.75	3.46e-06	1.03
XIV-15	XIV	63184	63280	+	1410.3	0.833	9.500000	13.77	2.81e-07	0.91
XIV-20	XIV	91618	91714	+	1410.3	0.789	8.500000	12.40	6.10e-07	0.91
XV-50	XV	301174	301270	+	1410.3	0.731	9.000000	8.77	7.35e-06	0.91
XV-43	XV	377895	377991	+	1410.3	0.571	10.000000	17.71	4.32e-08	0.91
XV-51	XV	391603	391699	+	1410.3	0.611	9.000000	18.66	2.91e-08	0.91
XV-54	XV	836698	836794	+	1410.3	0.562	9.000000	14.58	1.84e-07	0.91
XVI-27	XVI	378583	378679	+	1410.3	0.541	9.500000	13.77	2.81e-07	0.91
XVI-33	XVI	408879	408975	+	1410.3	0.769	9.000000	11.27	1.22e-06	0.91
XVI-43	XVI	857040	857136	+	1410.3	0.783	8.000000	10.71	1.76e-06	0.96
I-4	I	45379	45475	+	1327.4	0.455	8.000000	14.58	1.17e-07	0.96
I-5	I	190579	190675	+	1327.4	0.739	8.000000	11.11	8.71e-07	0.96
II-36	II	136147	136243	+	1327.4	0.467	8.000000	7.98	3.29e-05	0.97
II-32	II	419836	419932	+	1327.4	0.679	8.500000	8.98	4.05e-06	0.96
II-24	II	477191	477287	+	1327.4	0.606	9.500000	15.71	6.75e-08	1.03
II-27	II	662688	662784	+	1327.4	0.680	9.500000	19.68	1.23e-08	0.96
II-35	II	770704	770800	+	1327.4	0.724	8.500000	16.01	5.84e-08	0.96
III-8	III	315971	316067	+	1327.4	0.733	8.500000	29.70	5.25e-10	1.03
IV-57	IV	330554	330650	+	1327.4	0.655	8.500000	15.63	7.20e-07	0.90
IV-69	IV	461415	461511	+	1327.4	0.739	8.000000	12.76	3.16e-07	0.96
IV-59	IV	765413	765509	+	1327.4	0.692	8.500000	11.84	5.49e-07	0.96
IV-70	IV	836162	836258	+	1327.4	0.727	8.000000	19.45	1.35e-08	0.96
IV-71	IV	909559	909655	+	1327.4	0.704	8.000000	17.95	2.47e-08	0.96
IV-55	IV	1301348	1301444	+	1327.4	0.724	9.000000	14.58	1.17e-07	0.96
IV-65	IV	1476918	1477014	+	1327.4	0.581	8.500000	21.21	6.96e-09	0.96
IX-20	IX	197641	197737	+	1327.4	0.667	8.500000	16.84	4.00e-08	0.96
IX-21	IX	210653	210749	+	1327.4	0.800	8.500000	21.78	5.69e-09	0.96
V-35	V	221605	221701	+	1327.4	0.571	9.000000	9.72	2.29e-06	0.96
V-31	V	261665	261761	+	1327.4	0.486	9.500000	10.68	1.17e-06	0.96
V-33	V	349472	349568	+	1327.4	0.864	9.500000	14.72	1.10e-07	0.96
VII-52	VII	124283	124379	+	1327.4	0.773	8.000000	13.73	1.84e-07	0.96
VII-56	VII	472481	472577	+	1327.4	0.654	8.000000	15.12	8.95e-08	0.96
VII-57	VII	528646	528742	+	1327.4	0.567	8.000000	10.75	1.11e-06	0.96
VII-49	VII	584281	584377	+	1327.4	0.704	8.500000	14.87	9.96e-07	0.90
VII-40	VII	702771	702867	+	1327.4	0.750	9.500000	16.67	4.32e-08	0.96
VII-59	VII	733314	733410	+	1327.4	0.459	8.000000	11.50	6.77e-07	0.96
VIII-26	VIII	52	148	+	1327.4	0.850	8.000000	45.04	5.96e-10	0.90
VIII-28	VIII	56086	56182	+	1327.4	0.607	8.000000	11.58	6.43e-07	0.96
VIII-29	VIII	214204	214300	+	1327.4	0.833	8.000000	28.16	7.91e-10	0.96
VIII-24	VIII	342144	342240	+	1327.4	0.769	8.500000	16.67	4.32e-08	0.96
VIII-21	VIII	422537	422633	+	1327.4	0.576	9.000000	17.02	3.70e-08	0.96
VIII-32	VIII	556331	556427	+	1327.4	0.773	8.000000	20.42	9.31e-09	0.96
X-25	X	268582	268678	+	1327.4	0.667	8.000000	25.13	1.90e-09	0.96
X-26	X	337812	337908	+	1327.4	0.556	8.000000	14.72	1.10e-07	0.96
XI-24	XI	164669	164765	+	1327.4	0.720	9.000000	12.86	2.98e-07	0.96
XI-20	XI	317174	317270	+	1327.4	0.739	9.500000	15.27	8.35e-08	0.96
XII-38	XII	11354	11450	+	1327.4	0.720	8.500000	27.69	9.03e-10	0.96
XII-29	XII	198180	198276	+	1327.4	0.667	9.000000	15.12	8.95e-08	0.96
XII-30	XII	212191	212287	+	1327.4	0.727	9.000000	40.84	4.42e-11	0.96
XII-35	XII	877504	877600	+	1327.4	0.704	9.000000	16.01	5.84e-08	0.96
XII-37	XII	1065247	1065343	+	1327.4	0.667	9.000000	12.96	2.81e-07	0.96
XIII-44	XIII	223995	224091	+	1327.4	0.826	8.500000	11.19	8.29e-07	0.96
XIII-46	XIII	551692	551788	+	1327.4	0.593	8.500000	13.84	1.73e-07	0.96
XIII-49	XIII	577499	577595	+	1327.4	0.773	8.000000	26.78	1.17e-09	0.96
XIII-42	XIII	915289	915385	+	1327.4	0.704	9.000000	18.15	2.27e-08	0.96
XIV-18	XIV	60094	60190	+	1327.4	0.760	8.500000	13.17	2.50e-07	0.96
XIV-19	XIV	87457	87553	+	1327.4	0.680	8.500000	14.85	1.03e-07	0.96
XIV-21	XIV	317826	317922	+	1327.4	0.708	8.500000	18.99	1.61e-08	0.96
XIV-25	XIV	405798	405894	+	1327.4	0.556	8.000000	23.82	2.80e-08	0.97
XIV-28	XIV	500603	500699	+	1327.4	0.808	7.500000	13.39	2.22e-07	1.03
XIV-22	XIV	783528	783624	+	1327.4	0.810	8.500000	29.17	6.03e-10	0.96
XV-59	XV	158976	159072	+	1327.4	0.850	8.000000	9.44	2.82e-06	0.96
XV-56	XV	274463	274559	+	1327.4	0.783	8.500000	17.56	2.91e-08	1.03
XV-52	XV	481822	481918	+	1327.4	0.760	9.000000	11.67	6.10e-07	0.96
XV-57	XV	578100	578196	+	1327.4	0.750	8.500000	17.95	2.47e-08	0.96
XV-64	XV	931325	931421	+	1327.4	0.606	8.000000	22.38	4.63e-09	0.96
XVI-39	XVI	257159	257255	+	1327.4	0.654	8.000000	17.02	3.70e-08	0.96
XVI-40	XVI	264433	264529	+	1327.4	0.842	8.000000	20.94	7.68e-09	0.96
XVI-34	XVI	653934	654030	+	1327.4	0.714	9.000000	21.21	6.96e-09	0.96
XVI-44	XVI	901658	901754	+	1327.4	0.692	8.000000	15.01	9.35e-07	0.90
II-40	II	101704	101800	+	1244.4	0.810	7.500000	20.71	7.12e-08	0.97
II-41	II	140699	140795	+	1244.4	0.593	7.500000	10.07	1.19e-05	0.90
II-42	II	203225	203321	+	1244.4	0.667	7.500000	10.28	1.05e-05	0.97
II-43	II	278557	278653	+	1244.4	0.737	7.500000	17.81	3.06e-07	0.90
II-44	II	341734	341830	+	1244.4	0.652	7.500000	10.63	8.50e-06	0.90
II-45	II	356628	356724	+	1244.4	0.818	7.500000	25.52	2.80e-08	0.90
II-37	II	491019	491115	+	1244.4	0.471	8.000000	9.94	1.30e-05	0.90
II-38	II	615180	615276	+	1244.4	0.483	8.000000	10.21	1.10e-05	0.90
II-52	II	625095	625191	+	1244.4	0.600	7.000000	15.01	9.35e-07	0.97
IV-48	IV	106919	107015	+	1244.4	0.783	9.000000	16.47	5.12e-07	0.90
IV-74	IV	302823	302919	+	1244.4	0.696	7.500000	18.02	2.83e-07	0.90
IV-75	IV	341311	341407	+	1244.4	0.652	7.500000	27.84	1.56e-08	0.90
IV-58	IV	556709	556805	+	1244.4	0.455	8.500000	20.69	1.13e-07	0.90
IV-62	IV	1055968	1056064	+	1244.4	0.667	8.500000	23.56	4.78e-08	0.90
IV-79	IV	1266918	1267014	+	1244.4	0.750	7.500000	18.02	2.83e-07	0.90
IX-25	IX	141831	141927	+	1244.4	0.714	7.500000	7.85	3.64e-05	0.97
IX-24	IX	316436	316532	+	1244.4	0.515	8.500000	14.87	9.96e-07	0.90
IX-29	IX	389115	389211	+	1244.4	0.824	7.500000	7.33	9.60e-05	0.90
V-37	V	69610	69706	+	1244.4	0.696	8.500000	9.23	2.07e-05	0.90
V-39	V	106957	107053	+	1244.4	0.773	8.000000	23.56	4.78e-08	0.90
V-45	V	225536	225632	+	1244.4	0.720	7.500000	7.43	8.79e-05	0.90
V-41	V	295285	295381	+	1244.4	0.727	8.000000	15.47	7.70e-07	0.90
V-32	V	342579	342675	+	1244.4	0.556	9.500000	12.35	3.29e-06	0.90
VI-16	VI	5181	5277	+	1244.4	0.773	7.000000	17.60	3.30e-07	0.97
VI-13	VI	90697	90793	+	1244.4	0.559	8.000000	10.42	9.68e-06	0.90
VI-15	VI	183718	183814	+	1244.4	0.667	7.500000	8.32	3.89e-05	0.90
VII-60	VII	165948	166044	+	1244.4	0.515	7.500000	13.80	1.62e-06	0.90
VII-61	VII	206608	206704	+	1244.4	0.600	7.500000	13.67	1.71e-06	0.97
VII-54	VII	229909	230005	+	1244.4	0.727	8.000000	16.47	5.12e-07	0.90
VII-62	VII	371276	371372	+	1244.4	0.586	7.500000	16.83	4.44e-07	0.90
VII-64	VII	423134	423230	+	1244.4	0.640	7.500000	13.20	2.15e-06	0.90
VII-48	VII	581764	581860	+	1244.4	0.630	8.500000	14.31	1.27e-06	0.90
VII-50	VII	677792	677888	+	1244.4	0.571	8.500000	13.43	1.92e-06	0.90
VII-65	VII	739282	739378	+	1244.4	0.615	7.500000	12.89	1.38e-05	0.90
VII-51	VII	788275	788371	+	1244.4	0.552	8.500000	8.41	3.64e-05	0.90
VII-66	VII	920290	920386	+	1244.4	0.643	7.500000	15.01	9.35e-07	0.90
VII-67	VII	951489	951585	+	1244.4	0.818	7.500000	22.19	7.12e-08	0.90
VIII-34	VIII	150755	150851	+	1244.4	0.800	7.500000	11.18	6.21e-06	0.90
VIII-23	VIII	181746	181842	+	1244.4	0.842	8.500000	17.40	3.56e-07	0.90
VIII-35	VIII	267025	267121	+	1244.4	0.615	7.500000	21.57	8.61e-08	0.90
VIII-36	VIII	267317	267413	+	1244.4	0.800	7.500000	20.69	1.13e-07	0.97
VIII-38	VIII	298864	298960	+	1244.4	0.615	7.500000	9.94	1.30e-05	0.90
VIII-30	VIII	316249	316345	+	1244.4	0.652	8.000000	22.19	7.12e-08	0.90
VIII-42	VIII	512304	512400	+	1244.4	0.682	7.000000	28.36	1.38e-08	0.97
VIII-31	VIII	521996	522092	+	1244.4	0.727	8.000000	20.42	1.24e-07	0.90
X-24	X	36550	36646	+	1244.4	0.600	8.000000	11.10	6.50e-06	0.90
X-28	X	60648	60744	+	1244.4	0.750	7.500000	16.83	4.44e-07	0.90
X-31	X	424275	424371	+	1244.4	0.500	7.500000	24.70	3.49e-08	0.90
X-33	X	598422	598518	+	1244.4	0.882	7.500000	30.63	8.20e-09	0.90
X-34	X	663489	663585	+	1244.4	0.600	7.500000	9.40	1.85e-05	0.90
X-27	X	703697	703793	+	1244.4	0.531	8.000000	7.89	5.36e-05	0.90
XI-30	XI	21656	21752	+	1244.4	0.500	8.000000	13.80	1.62e-06	0.90
XI-23	XI	93751	93847	+	1244.4	0.654	9.000000	13.55	1.81e-06	0.90
XI-32	XI	213077	213173	+	1244.4	0.789	8.000000	14.72	1.06e-06	0.90
XII-48	XII	320276	320372	+	1244.4	0.640	7.500000	14.31	1.27e-06	0.90
XII-51	XII	645586	645682	+	1244.4	0.600	7.500000	9.40	1.85e-05	0.90
XII-53	XII	809086	809182	+	1244.4	0.536	7.500000	14.87	9.96e-07	0.90
XII-55	XII	837623	837719	+	1244.4	0.714	7.500000	11.96	4.03e-06	0.90
XII-44	XII	1012519	1012615	+	1244.4	0.905	8.000000	9.94	1.30e-05	0.90
XII-57	XII	1064527	1064623	+	1244.4	0.882	7.500000	11.87	4.24e-06	0.90
XIII-43	XIII	220958	221054	+	1244.4	0.552	8.500000	8.51	2.22e-05	0.97
XIII-34	XIII	302781	302877	+	1244.4	0.677	9.500000	7.89	5.36e-05	0.90
XIII-51	XIII	826662	826758	+	1244.4	0.833	7.500000	38.28	1.81e-09	0.90
XIV-26	XIV	198640	198736	+	1244.4	0.469	7.500000	11.78	4.45e-06	0.90
