# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-p" "-T" "2" "-a" "SPT5.consensus_peaks.saf" "-o" "SPT5_T0_R2.featureCounts.txt" "SPT5_T0_R2.mLb.clN.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SPT5_T0_R2.mLb.clN.sorted.bam
Interval_650	X	104405	104643	+	239	1
Interval_651	X	111604	111901	+	298	1
Interval_652	X	115642	116601	+	960	19
Interval_653	X	119806	121667	+	1862	59
Interval_654	X	122920	123735	+	816	24
Interval_655	X	136148	137227	+	1080	22
Interval_656	X	147347	147763	+	417	1
Interval_657	X	150598	150782	+	185	7
Interval_658	X	157351	158021	+	671	29
Interval_659	X	159722	160397	+	676	24
Interval_660	X	173271	173539	+	269	10
Interval_661	X	184144	184413	+	270	0
Interval_662	X	191232	192330	+	1099	7
Interval_663	X	195367	196148	+	782	32
Interval_664	X	204755	205211	+	457	4
Interval_665	X	220286	220797	+	512	22
Interval_666	X	223768	224429	+	662	16
Interval_667	X	227805	228032	+	228	13
Interval_668	X	228200	228374	+	175	4
Interval_669	X	236400	236807	+	408	10
Interval_670	X	256873	257180	+	308	6
Interval_671	X	262678	262852	+	175	0
Interval_672	X	268452	268799	+	348	6
Interval_673	X	278258	278640	+	383	0
Interval_674	X	278687	278982	+	296	0
Interval_675	X	291161	291367	+	207	7
Interval_676	X	294373	295071	+	699	35
Interval_677	X	314275	314594	+	320	0
Interval_678	X	337435	338035	+	601	14
Interval_679	X	348837	349070	+	234	4
Interval_680	X	354159	354433	+	275	5
Interval_681	X	355398	355819	+	422	8
Interval_682	X	360495	361083	+	589	12
Interval_683	X	374109	374486	+	378	12
Interval_684	X	378389	378702	+	314	7
Interval_685	X	380582	381170	+	589	5
Interval_686	X	391528	392159	+	632	33
Interval_687	X	398101	398393	+	293	1
Interval_688	X	415884	416081	+	198	8
Interval_689	X	424225	424616	+	392	17
Interval_690	X	454324	454550	+	227	5
Interval_691	X	454865	455287	+	423	24
Interval_692	X	455649	455922	+	274	9
Interval_693	X	465996	466384	+	389	4
Interval_694	X	521761	521956	+	196	11
Interval_695	X	524017	524661	+	645	4
Interval_696	X	525658	526152	+	495	17
Interval_697	X	531600	531805	+	206	6
Interval_698	X	545324	545656	+	333	10
Interval_699	X	570762	571111	+	350	2
Interval_700	X	573079	573287	+	209	0
Interval_701	X	578237	578947	+	711	7
Interval_702	X	585389	585623	+	235	5
Interval_703	X	598433	598626	+	194	6
Interval_704	X	609024	609276	+	253	6
Interval_705	X	617847	618073	+	227	5
Interval_706	X	622669	623808	+	1140	19
Interval_707	X	628814	629061	+	248	1
Interval_708	X	633156	633355	+	200	8
Interval_709	X	638558	639952	+	1395	33
Interval_710	X	640385	640646	+	262	2
Interval_711	X	646638	647318	+	681	26
Interval_712	X	651150	651744	+	595	17
Interval_713	X	662915	663827	+	913	31
Interval_714	X	683541	683858	+	318	3
Interval_715	X	703164	704219	+	1056	70
Interval_716	X	705154	705609	+	456	7
Interval_717	X	715443	716108	+	666	7
Interval_718	X	717886	718073	+	188	2
Interval_719	X	745135	745638	+	504	36
Interval_720	XI	50	788	+	739	60
Interval_721	XI	21549	21844	+	296	2
Interval_722	XI	24733	25426	+	694	8
Interval_723	XI	25927	26269	+	343	13
Interval_724	XI	38115	38589	+	475	6
Interval_725	XI	67561	69195	+	1635	53
Interval_726	XI	69546	69814	+	269	8
Interval_727	XI	70549	71247	+	699	5
Interval_728	XI	73934	74133	+	200	4
Interval_729	XI	80471	80954	+	484	11
Interval_730	XI	91983	92187	+	205	3
Interval_731	XI	93460	93899	+	440	12
Interval_732	XI	96424	96897	+	474	2
Interval_733	XI	99331	100157	+	827	46
Interval_734	XI	106765	106980	+	216	6
Interval_735	XI	108894	109122	+	229	6
Interval_736	XI	127120	127303	+	184	3
Interval_737	XI	140940	141399	+	460	7
Interval_738	XI	143065	143597	+	533	8
Interval_739	XI	146939	147197	+	259	9
Interval_740	XI	163450	164287	+	838	22
Interval_741	XI	164476	164818	+	343	19
Interval_742	XI	166055	166380	+	326	9
Interval_743	XI	171380	171886	+	507	6
Interval_744	XI	173813	174444	+	632	5
Interval_745	XI	179337	179763	+	427	3
Interval_746	XI	203023	203469	+	447	12
Interval_747	XI	216825	217102	+	278	5
Interval_748	XI	219691	220193	+	503	11
Interval_749	XI	230267	231698	+	1432	42
Interval_750	XI	247880	248500	+	621	10
Interval_751	XI	258422	259164	+	743	32
Interval_752	XI	260238	260938	+	701	18
Interval_753	XI	277986	278940	+	955	16
Interval_754	XI	302979	303217	+	239	7
Interval_755	XI	308190	308501	+	312	9
Interval_756	XI	308758	309044	+	287	14
Interval_757	XI	321767	322979	+	1213	23
Interval_758	XI	326489	328412	+	1924	49
Interval_759	XI	339002	339629	+	628	15
Interval_760	XI	340598	340817	+	220	8
Interval_761	XI	340818	340991	+	174	6
Interval_762	XI	355226	356318	+	1093	41
Interval_763	XI	361988	362402	+	415	3
Interval_764	XI	369045	369722	+	678	3
Interval_765	XI	379379	379788	+	410	4
Interval_766	XI	381919	382423	+	505	19
Interval_767	XI	382801	383230	+	430	6
Interval_768	XI	383251	383555	+	305	7
Interval_769	XI	385156	385854	+	699	18
Interval_770	XI	408192	408373	+	182	7
Interval_771	XI	428832	429224	+	393	7
Interval_772	XI	431284	431795	+	512	28
Interval_773	XI	439384	439890	+	507	10
Interval_774	XI	462985	463815	+	831	18
Interval_775	XI	513254	513495	+	242	8
Interval_776	XI	513978	514297	+	320	6
Interval_777	XI	517892	519306	+	1415	67
Interval_778	XI	533625	533949	+	325	2
Interval_779	XI	535605	535856	+	252	3
Interval_780	XI	550971	551246	+	276	1
Interval_781	XI	551423	551642	+	220	1
Interval_782	XI	567279	567750	+	472	5
Interval_783	XI	578310	579092	+	783	16
Interval_784	XI	581059	582094	+	1036	12
Interval_785	XI	589466	590150	+	685	7
Interval_786	XI	608321	608626	+	306	1
Interval_787	XI	614120	615474	+	1355	24
Interval_788	XI	618897	619103	+	207	6
Interval_789	XI	630506	630903	+	398	12
Interval_790	XI	665993	666803	+	811	103
Interval_791	XII	35	304	+	270	32
Interval_792	XII	5549	5980	+	432	53
Interval_793	XII	11010	11830	+	821	69
Interval_794	XII	23142	23408	+	267	6
Interval_795	XII	36867	37111	+	245	5
Interval_796	XII	40482	40782	+	301	2
Interval_797	XII	48742	48995	+	254	9
Interval_798	XII	54089	54645	+	557	5
Interval_799	XII	65377	65873	+	497	5
Interval_800	XII	83854	84549	+	696	15
Interval_801	XII	92561	92921	+	361	10
Interval_802	XII	98861	99244	+	384	0
Interval_803	XII	108220	108907	+	688	9
Interval_804	XII	125041	125306	+	266	4
Interval_805	XII	187360	187881	+	522	20
Interval_806	XII	198200	198693	+	494	7
Interval_807	XII	202711	202888	+	178	4
Interval_808	XII	214570	215021	+	452	2
Interval_809	XII	232413	232731	+	319	15
Interval_810	XII	233442	234915	+	1474	43
Interval_811	XII	241786	242093	+	308	6
Interval_812	XII	253024	253704	+	681	13
Interval_813	XII	259678	260048	+	371	8
Interval_814	XII	289702	289954	+	253	7
Interval_815	XII	320169	320724	+	556	3
Interval_816	XII	329150	329592	+	443	6
Interval_817	XII	366278	366507	+	230	6
Interval_818	XII	368315	369196	+	882	14
Interval_819	XII	369443	371323	+	1881	122
Interval_820	XII	388470	388933	+	464	6
Interval_821	XII	390468	390828	+	361	8
Interval_822	XII	406952	407178	+	227	1
Interval_823	XII	416933	417143	+	211	5
Interval_824	XII	423506	424935	+	1430	62
Interval_825	XII	439981	440205	+	225	5
Interval_826	XII	444849	445194	+	346	6
Interval_827	XII	448480	448907	+	428	15
Interval_828	XII	449482	450862	+	1381	34
Interval_829	XII	459515	461009	+	1495	2774
Interval_830	XII	489372	489968	+	597	32
Interval_831	XII	490576	491136	+	561	24
Interval_832	XII	493999	494269	+	271	1
Interval_833	XII	498631	498805	+	175	7
Interval_834	XII	510545	510945	+	401	5
Interval_835	XII	521971	522585	+	615	21
Interval_836	XII	523524	523763	+	240	1
Interval_837	XII	543431	543761	+	331	3
Interval_838	XII	553355	553932	+	578	4
Interval_839	XII	553942	554370	+	429	9
Interval_840	XII	586018	586277	+	260	2
Interval_841	XII	592386	592647	+	262	2
Interval_842	XII	603691	604029	+	339	6
Interval_843	XII	605091	605600	+	510	9
Interval_844	XII	611635	612003	+	369	8
Interval_845	XII	628279	628537	+	259	5
Interval_846	XII	636268	636619	+	352	9
Interval_847	XII	637748	637949	+	202	7
Interval_848	XII	638440	639544	+	1105	21
Interval_849	XII	645300	646206	+	907	18
Interval_850	XII	650880	651271	+	392	8
Interval_851	XII	658127	658592	+	466	26
Interval_852	XII	660064	660473	+	410	6
Interval_853	XII	664970	665642	+	673	8
Interval_854	XII	677717	678036	+	320	5
Interval_855	XII	704053	705077	+	1025	24
Interval_856	XII	710542	710826	+	285	10
Interval_857	XII	713220	713495	+	276	5
Interval_858	XII	723097	723774	+	678	18
Interval_859	XII	725535	725739	+	205	4
Interval_860	XII	728189	728704	+	516	26
Interval_861	XII	734718	735022	+	305	9
Interval_862	XII	737643	738172	+	530	11
Interval_863	XII	758867	759423	+	557	6
Interval_864	XII	764317	764636	+	320	3
Interval_865	XII	781497	781749	+	253	5
Interval_866	XII	783553	784698	+	1146	15
Interval_867	XII	787469	787740	+	272	3
Interval_868	XII	789862	790126	+	265	7
Interval_869	XII	793695	794181	+	487	5
Interval_870	XII	795210	795377	+	168	3
Interval_871	XII	796419	797337	+	919	30
Interval_872	XII	805171	805564	+	394	7
Interval_873	XII	808916	809486	+	571	27
Interval_874	XII	818554	819284	+	731	17
Interval_875	XII	828071	828678	+	608	13
Interval_876	XII	830437	830850	+	414	9
Interval_877	XII	837564	837799	+	236	12
Interval_878	XII	838257	838609	+	353	12
Interval_879	XII	839303	839918	+	616	22
Interval_880	XII	853306	853675	+	370	2
Interval_881	XII	871434	872064	+	631	5
Interval_882	XII	875164	875547	+	384	12
Interval_883	XII	877490	878154	+	665	22
Interval_884	XII	903259	903665	+	407	10
Interval_885	XII	921517	922588	+	1072	25
Interval_886	XII	924552	925083	+	532	33
Interval_887	XII	930713	930974	+	262	5
Interval_888	XII	931627	932953	+	1327	41
Interval_889	XII	949571	949855	+	285	7
Interval_890	XII	950046	950988	+	943	28
Interval_891	XII	954143	955383	+	1241	8
Interval_892	XII	1002163	1002516	+	354	6
Interval_893	XII	1002842	1003136	+	295	6
Interval_894	XII	1012113	1012618	+	506	17
Interval_895	XII	1014134	1014340	+	207	1
Interval_896	XII	1018995	1019229	+	235	12
Interval_897	XII	1028090	1028888	+	799	44
Interval_898	XII	1064273	1065458	+	1186	103
Interval_899	XII	1071485	1071896	+	412	27
Interval_900	XIII	5364	5708	+	345	17
Interval_901	XIII	14606	14832	+	227	4
Interval_902	XIII	25948	26740	+	793	42
Interval_903	XIII	29940	30425	+	486	12
Interval_904	XIII	46417	46689	+	273	5
Interval_905	XIII	46871	47207	+	337	6
Interval_906	XIII	50923	51532	+	610	4
Interval_907	XIII	67863	68209	+	347	6
Interval_908	XIII	69583	70537	+	955	27
Interval_909	XIII	73460	73766	+	307	1
Interval_910	XIII	91119	91336	+	218	11
Interval_911	XIII	91520	92062	+	543	10
Interval_912	XIII	101417	101774	+	358	7
Interval_913	XIII	104226	104645	+	420	7
Interval_914	XIII	119060	119705	+	646	15
Interval_915	XIII	124278	124543	+	266	16
Interval_916	XIII	131661	131835	+	175	4
Interval_917	XIII	146006	146362	+	357	22
Interval_918	XIII	158811	159322	+	512	7
Interval_919	XIII	160012	160215	+	204	3
Interval_920	XIII	169914	170253	+	340	19
Interval_921	XIII	192089	192500	+	412	3
Interval_922	XIII	195957	196409	+	453	10
Interval_923	XIII	219832	220062	+	231	4
Interval_924	XIII	220944	221161	+	218	6
Interval_925	XIII	223899	224259	+	361	10
Interval_926	XIII	225453	225799	+	347	15
Interval_927	XIII	253122	253637	+	516	17
Interval_928	XIII	258839	259248	+	410	3
Interval_929	XIII	271492	272117	+	626	29
Interval_930	XIII	279727	280106	+	380	9
Interval_931	XIII	282841	283470	+	630	5
Interval_932	XIII	287287	287827	+	541	16
Interval_933	XIII	302747	303038	+	292	14
Interval_934	XIII	306021	306932	+	912	44
Interval_935	XIII	334944	335147	+	204	4
Interval_936	XIII	340968	341182	+	215	1
Interval_937	XIII	346988	347963	+	976	12
Interval_938	XIII	349712	350246	+	535	10
Interval_939	XIII	352302	352490	+	189	8
Interval_940	XIII	352743	353554	+	812	29
Interval_941	XIII	355221	355430	+	210	2
Interval_942	XIII	362289	363225	+	937	21
Interval_943	XIII	388044	388644	+	601	31
Interval_944	XIII	407641	408881	+	1241	59
Interval_945	XIII	420445	420639	+	195	6
Interval_946	XIII	424601	424880	+	280	2
Interval_947	XIII	431574	431946	+	373	4
Interval_948	XIII	433401	434728	+	1328	31
Interval_949	XIII	453638	453831	+	194	2
Interval_950	XIII	463116	463669	+	554	9
Interval_951	XIII	472854	473351	+	498	25
Interval_952	XIII	477739	478202	+	464	2
Interval_953	XIII	480640	480879	+	240	4
Interval_954	XIII	482492	482760	+	269	4
Interval_955	XIII	510453	511173	+	721	29
Interval_956	XIII	540146	540911	+	766	28
Interval_957	XIII	545731	545927	+	197	3
Interval_958	XIII	551118	551905	+	788	43
Interval_959	XIII	556830	557425	+	596	37
Interval_960	XIII	560592	560814	+	223	6
Interval_961	XIII	592296	592528	+	233	1
Interval_962	XIII	599238	599487	+	250	1
Interval_963	XIII	600855	601498	+	644	6
Interval_964	XIII	601518	601721	+	204	0
Interval_965	XIII	608336	608513	+	178	6
Interval_966	XIII	625673	626163	+	491	8
Interval_967	XIII	628001	628289	+	289	5
Interval_968	XIII	652032	652292	+	261	4
Interval_969	XIII	652313	654127	+	1815	28
Interval_970	XIII	661708	662271	+	564	12
Interval_971	XIII	667168	667361	+	194	3
Interval_972	XIII	675004	675486	+	483	18
Interval_973	XIII	683868	684306	+	439	2
Interval_974	XIII	751388	751610	+	223	5
Interval_975	XIII	754266	754593	+	328	5
Interval_976	XIII	758729	759454	+	726	29
Interval_977	XIII	763251	763502	+	252	2
Interval_978	XIII	768208	768413	+	206	0
Interval_979	XIII	773010	773413	+	404	0
Interval_980	XIII	773676	774709	+	1034	25
Interval_981	XIII	775267	775817	+	551	2
Interval_982	XIII	777401	777902	+	502	12
Interval_983	XIII	797949	798344	+	396	15
Interval_984	XIII	807956	808403	+	448	8
Interval_985	XIII	851763	852473	+	711	11
Interval_986	XIII	861095	861929	+	835	19
Interval_987	XIII	872736	873107	+	372	6
Interval_988	XIII	880510	880987	+	478	17
Interval_989	XIII	886392	886883	+	492	8
Interval_990	XIII	901204	901643	+	440	6
Interval_991	XIII	903947	904267	+	321	5
Interval_992	XIII	904348	904602	+	255	6
Interval_993	XIII	914759	915761	+	1003	38
Interval_994	XIII	923374	924296	+	923	59
Interval_995	XIV	6570	7336	+	767	62
Interval_996	XIV	23449	23787	+	339	4
Interval_997	XIV	57590	58053	+	464	8
Interval_998	XIV	59884	60188	+	305	3
Interval_999	XIV	62962	63664	+	703	22
Interval_1000	XIV	68500	68738	+	239	7
Interval_1001	XIV	87069	87666	+	598	13
Interval_1002	XIV	88941	90087	+	1147	24
Interval_1003	XIV	96178	96458	+	281	6
Interval_1004	XIV	104601	104942	+	342	9
Interval_1005	XIV	107233	107532	+	300	5
Interval_1006	XIV	112673	113074	+	402	2
Interval_1007	XIV	116554	116982	+	429	11
Interval_1008	XIV	137957	138416	+	460	6
Interval_1009	XIV	198050	198901	+	852	23
Interval_1010	XIV	217308	217665	+	358	6
Interval_1011	XIV	239934	240313	+	380	4
Interval_1012	XIV	273829	274372	+	544	1
Interval_1013	XIV	275861	276247	+	387	9
Interval_1014	XIV	281468	282049	+	582	15
Interval_1015	XIV	301201	301552	+	352	5
Interval_1016	XIV	301780	302569	+	790	18
Interval_1017	XIV	310223	310422	+	200	4
Interval_1018	XIV	317827	318296	+	470	2
Interval_1019	XIV	330952	331248	+	297	18
Interval_1020	XIV	335785	336174	+	390	5
Interval_1021	XIV	340177	340408	+	232	2
Interval_1022	XIV	349798	350768	+	971	26
Interval_1023	XIV	351510	351725	+	216	2
Interval_1024	XIV	355341	355984	+	644	28
Interval_1025	XIV	373794	374036	+	243	4
Interval_1026	XIV	374764	375183	+	420	13
Interval_1027	XIV	392489	392749	+	261	4
Interval_1028	XIV	398184	398378	+	195	1
Interval_1029	XIV	405735	405951	+	217	14
Interval_1030	XIV	412354	412702	+	349	4
Interval_1031	XIV	415584	416625	+	1042	19
Interval_1032	XIV	426976	427485	+	510	25
Interval_1033	XIV	437474	437713	+	240	0
Interval_1034	XIV	440695	441231	+	537	17
Interval_1035	XIV	442519	442780	+	262	2
Interval_1036	XIV	442783	442952	+	170	4
Interval_1037	XIV	444508	444696	+	189	5
Interval_1038	XIV	466510	466685	+	176	0
Interval_1039	XIV	479318	479853	+	536	15
Interval_1040	XIV	483168	483505	+	338	2
Interval_1041	XIV	490980	491388	+	409	6
Interval_1042	XIV	495054	495475	+	422	22
Interval_1043	XIV	498696	498861	+	166	3
Interval_1044	XIV	499089	499442	+	354	5
Interval_1045	XIV	500544	500969	+	426	12
Interval_1046	XIV	502813	503534	+	722	17
Interval_1047	XIV	507323	507698	+	376	7
Interval_1048	XIV	515067	515338	+	272	7
Interval_1049	XIV	518824	519208	+	385	4
Interval_1050	XIV	559057	559988	+	932	29
Interval_1051	XIV	560430	560697	+	268	8
Interval_1052	XIV	568017	568306	+	290	11
Interval_1053	XIV	569465	570026	+	562	15
Interval_1054	XIV	576088	576606	+	519	19
Interval_1055	XIV	578681	579188	+	508	3
Interval_1056	XIV	586443	587249	+	807	12
Interval_1057	XIV	602232	602448	+	217	5
Interval_1058	XIV	604764	605154	+	391	11
Interval_1059	XIV	619823	619988	+	166	4
Interval_1060	XIV	631336	632325	+	990	21
Interval_1061	XIV	632530	632789	+	260	9
Interval_1062	XIV	633817	634202	+	386	1
Interval_1063	XIV	651841	652335	+	495	11
Interval_1064	XIV	661992	662574	+	583	34
Interval_1065	XIV	663444	664369	+	926	26
Interval_1066	XIV	664968	665250	+	283	6
Interval_1067	XIV	692074	692288	+	215	1
Interval_1068	XIV	708003	708499	+	497	13
Interval_1069	XIV	739090	739758	+	669	17
Interval_1070	XIV	763098	763286	+	189	2
Interval_1071	XIV	783383	784245	+	863	54
Interval_1072	XV	3	895	+	893	79
Interval_1073	XV	5069	5372	+	304	0
Interval_1074	XV	21397	21705	+	309	8
Interval_1075	XV	27490	28095	+	606	25
Interval_1076	XV	31813	32217	+	405	9
Interval_1077	XV	43585	43831	+	247	0
Interval_1078	XV	55172	55480	+	309	6
Interval_1079	XV	69063	69543	+	481	10
Interval_1080	XV	79873	80207	+	335	10
Interval_1081	XV	81668	81927	+	260	6
Interval_1082	XV	82747	83685	+	939	29
Interval_1083	XV	92948	93426	+	479	12
Interval_1084	XV	94298	94759	+	462	11
Interval_1085	XV	108969	110213	+	1245	67
Interval_1086	XV	110869	111157	+	289	4
Interval_1087	XV	117581	118171	+	591	13
Interval_1088	XV	127960	128467	+	508	11
Interval_1089	XV	158704	159390	+	687	22
Interval_1090	XV	159790	162158	+	2369	90
Interval_1091	XV	167963	168586	+	624	17
Interval_1092	XV	170545	170805	+	261	11
Interval_1093	XV	216263	216883	+	621	29
Interval_1094	XV	218774	219162	+	389	12
Interval_1095	XV	231993	232719	+	727	8
Interval_1096	XV	234198	234721	+	524	12
Interval_1097	XV	253710	254127	+	418	31
Interval_1098	XV	255175	255436	+	262	1
Interval_1099	XV	274188	274893	+	706	19
Interval_1100	XV	285512	285910	+	399	11
Interval_1101	XV	288214	288618	+	405	12
Interval_1102	XV	304137	305164	+	1028	20
Interval_1103	XV	315954	316605	+	652	14
Interval_1104	XV	349302	349528	+	227	0
Interval_1105	XV	377560	378117	+	558	9
Interval_1106	XV	382974	383351	+	378	2
Interval_1107	XV	384771	385555	+	785	8
Interval_1108	XV	391292	391975	+	684	8
Interval_1109	XV	424143	424717	+	575	14
Interval_1110	XV	427455	427667	+	213	1
Interval_1111	XV	429956	430519	+	564	3
Interval_1112	XV	431789	432039	+	251	3
Interval_1113	XV	438760	438935	+	176	2
Interval_1114	XV	443308	444494	+	1187	24
Interval_1115	XV	446868	447051	+	184	4
Interval_1116	XV	461628	461910	+	283	4
Interval_1117	XV	462298	462887	+	590	11
Interval_1118	XV	479432	479628	+	197	0
Interval_1119	XV	479832	480094	+	263	4
Interval_1120	XV	481855	482065	+	211	2
Interval_1121	XV	487318	487625	+	308	13
Interval_1122	XV	494184	494928	+	745	18
Interval_1123	XV	504598	505795	+	1198	37
Interval_1124	XV	511296	511777	+	482	14
Interval_1125	XV	514145	515005	+	861	15
Interval_1126	XV	520442	520879	+	438	14
Interval_1127	XV	522697	522903	+	207	10
Interval_1128	XV	578051	578497	+	447	4
Interval_1129	XV	605952	606500	+	549	5
Interval_1130	XV	618644	619604	+	961	23
Interval_1131	XV	631883	632262	+	380	8
Interval_1132	XV	638689	639436	+	748	17
Interval_1133	XV	670878	671422	+	545	13
Interval_1134	XV	678889	679177	+	289	11
Interval_1135	XV	682186	682401	+	216	4
Interval_1136	XV	683520	683889	+	370	8
Interval_1137	XV	700955	701249	+	295	3
Interval_1138	XV	742232	742605	+	374	21
Interval_1139	XV	761490	762543	+	1054	23
Interval_1140	XV	769946	770660	+	715	15
Interval_1141	XV	772307	772483	+	177	6
Interval_1142	XV	779514	780187	+	674	40
Interval_1143	XV	796939	797346	+	408	6
Interval_1144	XV	813114	813334	+	221	0
Interval_1145	XV	825168	826416	+	1249	19
Interval_1146	XV	832020	832713	+	694	26
Interval_1147	XV	836535	837305	+	771	21
Interval_1148	XV	842081	842293	+	213	4
Interval_1149	XV	866633	867172	+	540	33
Interval_1150	XV	877769	878253	+	485	16
Interval_1151	XV	880438	880874	+	437	2
Interval_1152	XV	881874	882476	+	603	27
Interval_1153	XV	891784	891951	+	168	6
Interval_1154	XV	901295	901631	+	337	21
Interval_1155	XV	903793	904460	+	668	25
Interval_1156	XV	908494	909174	+	681	22
Interval_1157	XV	911798	912927	+	1130	23
Interval_1158	XV	925291	925485	+	195	1
Interval_1159	XV	931256	931609	+	354	11
Interval_1160	XV	949367	949676	+	310	3
Interval_1161	XV	965882	966307	+	426	7
Interval_1162	XV	967916	968467	+	552	15
Interval_1163	XV	978380	979642	+	1263	73
Interval_1164	XV	980729	980944	+	216	5
Interval_1165	XV	987289	989638	+	2350	95
Interval_1166	XV	1003542	1003774	+	233	7
Interval_1167	XV	1004147	1004478	+	332	6
Interval_1168	XV	1009623	1010071	+	449	7
Interval_1169	XV	1017731	1018084	+	354	2
Interval_1170	XV	1018842	1019254	+	413	4
Interval_1171	XV	1028828	1029009	+	182	3
Interval_1172	XV	1043226	1043622	+	397	13
Interval_1173	XV	1044426	1044617	+	192	2
Interval_1174	XV	1050797	1050975	+	179	1
Interval_1175	XV	1064737	1064938	+	202	0
Interval_1176	XV	1084225	1084483	+	259	12
Interval_1177	XVI	6541	6913	+	373	8
Interval_1178	XVI	22130	22716	+	587	14
Interval_1179	XVI	24581	24892	+	312	3
Interval_1180	XVI	40243	40997	+	755	22
Interval_1181	XVI	55957	56517	+	561	22
Interval_1182	XVI	66922	67627	+	706	12
Interval_1183	XVI	74931	75548	+	618	43
Interval_1184	XVI	76360	76605	+	246	22
Interval_1185	XVI	96414	96772	+	359	3
Interval_1186	XVI	98871	99537	+	667	3
Interval_1187	XVI	102676	102999	+	324	0
Interval_1188	XVI	106637	107038	+	402	8
Interval_1189	XVI	108415	108610	+	196	6
Interval_1190	XVI	111043	111227	+	185	2
Interval_1191	XVI	114193	115117	+	925	17
Interval_1192	XVI	129833	130155	+	323	0
Interval_1193	XVI	132074	132692	+	619	13
Interval_1194	XVI	132903	133122	+	220	3
Interval_1195	XVI	163711	164017	+	307	7
Interval_1196	XVI	174408	174876	+	469	8
Interval_1197	XVI	184425	184630	+	206	0
Interval_1198	XVI	188655	189115	+	461	8
Interval_1199	XVI	207395	207790	+	396	4
Interval_1200	XVI	214206	215679	+	1474	72
Interval_1201	XVI	227653	228087	+	435	12
Interval_1202	XVI	246341	246731	+	391	3
Interval_1203	XVI	256954	257338	+	385	7
Interval_1204	XVI	264448	264888	+	441	2
Interval_1205	XVI	280096	280384	+	289	3
Interval_1206	XVI	281531	282090	+	560	17
Interval_1207	XVI	296913	297391	+	479	13
Interval_1208	XVI	302808	303028	+	221	5
Interval_1209	XVI	309890	310143	+	254	6
Interval_1210	XVI	338795	338987	+	193	4
Interval_1211	XVI	339164	340257	+	1094	22
Interval_1212	XVI	340481	340909	+	429	10
Interval_1213	XVI	364517	365069	+	553	1
Interval_1214	XVI	369224	369662	+	439	3
Interval_1215	XVI	370551	370881	+	331	6
Interval_1216	XVI	378457	378881	+	425	16
Interval_1217	XVI	381202	381562	+	361	2
Interval_1218	XVI	404186	404688	+	503	12
Interval_1219	XVI	406167	406540	+	374	20
Interval_1220	XVI	408904	409179	+	276	5
Interval_1221	XVI	411623	412156	+	534	9
Interval_1222	XVI	425083	426203	+	1121	39
Interval_1223	XVI	431436	432823	+	1388	35
Interval_1224	XVI	450823	451396	+	574	13
Interval_1225	XVI	453293	454041	+	749	10
Interval_1226	XVI	455027	455340	+	314	9
Interval_1227	XVI	463908	464118	+	211	3
Interval_1228	XVI	475540	475819	+	280	2
Interval_1229	XVI	493155	493383	+	229	1
Interval_1230	XVI	497656	497951	+	296	8
Interval_1231	XVI	502326	503160	+	835	28
Interval_1232	XVI	520334	520618	+	285	8
Interval_1233	XVI	526804	527325	+	522	9
Interval_1234	XVI	551817	552147	+	331	4
Interval_1235	XVI	566824	567065	+	242	6
Interval_1236	XVI	572352	572537	+	186	6
Interval_1237	XVI	581471	582188	+	718	10
Interval_1238	XVI	586029	586645	+	617	22
Interval_1239	XVI	587222	587485	+	264	5
Interval_1240	XVI	591269	591496	+	228	6
Interval_1241	XVI	627167	627609	+	443	5
Interval_1242	XVI	641192	641914	+	723	38
Interval_1243	XVI	645042	646296	+	1255	26
Interval_1244	XVI	646527	646858	+	332	1
Interval_1245	XVI	653804	654079	+	276	7
Interval_1246	XVI	664854	665067	+	214	2
Interval_1247	XVI	666103	666403	+	301	3
Interval_1248	XVI	678439	679386	+	948	32
Interval_1249	XVI	689671	689892	+	222	5
Interval_1250	XVI	695003	695772	+	770	14
Interval_1251	XVI	698697	698914	+	218	2
Interval_1252	XVI	699983	700462	+	480	25
Interval_1253	XVI	701300	701469	+	170	3
Interval_1254	XVI	731894	732163	+	270	15
Interval_1255	XVI	744239	744464	+	226	7
Interval_1256	XVI	769099	769286	+	188	4
Interval_1257	XVI	770667	771025	+	359	13
Interval_1258	XVI	775456	776076	+	621	13
Interval_1259	XVI	789652	789835	+	184	4
Interval_1260	XVI	794572	794887	+	316	15
Interval_1261	XVI	812804	813044	+	241	12
Interval_1262	XVI	821562	822509	+	948	24
Interval_1263	XVI	828646	829601	+	956	27
Interval_1264	XVI	840189	840984	+	796	20
Interval_1265	XVI	856097	856276	+	180	1
Interval_1266	XVI	856859	857249	+	391	12
Interval_1267	XVI	860307	860792	+	486	6
Interval_1268	XVI	870219	870568	+	350	1
Interval_1269	XVI	883121	883321	+	201	2
Interval_1270	XVI	887754	887978	+	225	3
Interval_1271	XVI	900310	900493	+	184	0
Interval_1272	XVI	901623	901881	+	259	7
Interval_1273	XVI	920828	921411	+	584	4
Interval_1274	XVI	927659	928355	+	697	26
Interval_1275	XVI	942471	942926	+	456	23
